,instrument,mae_min,mae_max,mae_mean,mae_var,mae_count,corr_min,corr_max,corr_mean,corr_var,corr_count,profit_min,profit_max,profit_mean,profit_var,profit_count
0,SH688538,0.36357394,0.39199498,0.37953466,7.378711e-05,13,-0.3144126444651708,-0.06519599205414033,-0.18675613021369372,0.00396320393055527,13,0.13636363633264462,0.35416666659288193,0.23204557778681584,0.002994427279214703,13
1,SH688739,0.38867176,0.39957437,0.3933653,1.1723804e-05,12,-0.26903953095948235,-0.01826794447580481,-0.13327652239206944,0.005449044592895802,12,0.48387096766389176,0.5571428570632654,0.5130787283821592,0.0004924932354043849,12
2,SZ300294,0.40924308,0.42673028,0.4158665,2.4044008e-05,12,-0.14106828141067862,-0.0009219864139321637,-0.07297012765036369,0.0014033329658656064,12,0.35087719292089875,0.4318181817200413,0.39420739004749894,0.0006067072055006114,12
3,SH688425,0.43653703,0.4517586,0.4420359,1.9404653e-05,14,-0.2402765981435227,-0.07762180269270652,-0.17959006145054415,0.002292585691761888,14,0.459999999908,0.6603773583659666,0.5341443132301025,0.002370719348719885,14
4,SZ300498,0.46393335,0.48738185,0.47147766,3.664269e-05,16,-0.20462323808994207,-0.12409266930743679,-0.1569827144482668,0.0005817756680254251,16,0.319999999936,0.5454545452066115,0.39197831024877855,0.004468448112605628,16
5,SZ300048,0.46600688,0.48283792,0.47233883,3.2308173e-05,10,-0.2947586439316733,-0.15230830380087484,-0.2026794071259208,0.0023338255917178777,10,0.5434782607514178,0.6470588234025375,0.6151687821761004,0.0009486424844577247,10
6,SZ301109,0.47164416,0.4823698,0.47749552,8.129219e-06,13,-0.1654986398468393,-0.09680132846061652,-0.13267073042552804,0.0004455032554475074,13,0.45283018859380564,0.574074073967764,0.5167108027542351,0.001513443959254362,13
7,SZ301362,0.4697241,0.48631978,0.47802365,1.9405783e-05,13,-0.08455397669910364,0.007041140389453578,-0.05747691268418383,0.0007210149846753008,13,0.2978723403621548,0.4571428570122449,0.3605255765457977,0.0017571881999710482,13
8,SZ300869,0.49110562,0.50791174,0.49876854,2.2638831e-05,14,-0.31950448023853345,-0.16374642323538807,-0.22416833585408424,0.002270487209774218,14,0.34883720922120065,0.4666666665111111,0.40872668533346285,0.0010395438746764432,14
9,SZ300452,0.49726558,0.5027699,0.5004679,2.2839126e-06,13,-0.0737843515952245,0.0024782780883401173,-0.04197024308924653,0.0005038965628611435,13,0.4146341462403331,0.4999999998863636,0.45772958418757964,0.0008688555469856621,13
10,SZ300257,0.49694854,0.50762475,0.5020524,9.758864e-06,15,-0.22683834521482718,-0.1279778898013636,-0.17999661677059153,0.0008802593688826565,15,0.37499999984375,0.5675675674141709,0.49440487833691676,0.0024217763579192884,15
11,SH688479,0.49415165,0.51510876,0.5030826,2.8112447e-05,17,-0.2984128369758421,-0.06680892567582809,-0.1960041318273094,0.003966458159603215,17,0.19999999995555556,0.46153846142011834,0.3045640184025746,0.0030127772842681996,17
12,SZ301373,0.50126743,0.5095497,0.5056007,7.4970367e-06,10,-0.1452310945834756,-0.04983006169304221,-0.08939934742543548,0.000881472233053415,10,0.35999999992799997,0.4999999998809524,0.4443200487118343,0.0015752623193958245,10
13,SZ300039,0.5007702,0.51165867,0.5056088,8.684196e-06,18,-0.14620467193734288,-0.07031274140521386,-0.11031138763203568,0.0005504068132071371,18,0.3999999998857143,0.530612244789671,0.46261830445578117,0.0016290831077179343,18
14,SZ301090,0.5029987,0.51325476,0.5062222,1.01661935e-05,13,-0.14778095518619022,0.030134700407843402,-0.06400831229801034,0.002516567197239706,13,0.371428571322449,0.5897435895923734,0.5266330321781297,0.005446439912150151,13
15,SZ300979,0.4954051,0.52900726,0.50763243,0.0001026296,16,-0.06441470960116126,0.013545663343914546,-0.03377714889356724,0.0006689523718446228,16,0.26315789459833794,0.481481481303155,0.38976754677582626,0.003548183243815594,16
16,SZ300849,0.5004567,0.515842,0.5082205,2.2269609e-05,16,-0.23269039039364584,-0.02869022962236052,-0.1431844935381495,0.0031553845255639034,16,0.1999999996,0.46153846142011834,0.345809450744189,0.003503561751590072,16
17,SZ300439,0.5082965,0.5165794,0.51157355,8.119761e-06,16,-0.1999928209253643,-0.0565525689002289,-0.12091380922222701,0.0022082543519505605,16,0.39215686266820454,0.5757575755831037,0.47711764153243164,0.001967864320301613,16
18,SH688459,0.5085772,0.5256383,0.51517844,2.0735575e-05,17,-0.15682533328917828,0.002330116908761191,-0.0691706422943028,0.0013155867720061882,17,0.3584905659700961,0.5555555554320988,0.4649505559010616,0.0021941735931368797,17
19,SZ300406,0.5114836,0.51894915,0.51543874,4.0097693e-06,17,-0.1614130347940658,-0.036942800507146795,-0.096111405773405,0.0012738823027023227,17,0.2777777777006173,0.5744680849841557,0.4763670240575067,0.00502130079607566,17
20,SZ301216,0.5106338,0.51976097,0.51576185,7.334582e-06,18,-0.22208999115215708,-0.05249078323700018,-0.11479506117851443,0.0027327242797818277,18,0.4769230768497042,0.5833333332118056,0.5254321731301883,0.0008809791667821033,18
21,SZ300999,0.50878584,0.5234021,0.51582754,1.5264088e-05,17,-0.27365929068908623,-0.15149590886222317,-0.2207652624975791,0.001701188345407855,17,0.39999999993333335,0.4999999999305556,0.4516853798423247,0.000988427062427405,17
22,SZ301087,0.50959176,0.52578217,0.5182132,2.2999557e-05,14,-0.13328440201345448,-0.005092729599880942,-0.10064865784604156,0.001329563344768068,14,0.3829787233227705,0.5624999998242187,0.5086101602453474,0.002481223519642392,14
23,SZ300146,0.5119115,0.528002,0.51896465,2.3369912e-05,16,-0.317789821150112,-0.11907811891287676,-0.2128731695045138,0.002367489661315707,16,0.3793103447621879,0.4520547944586227,0.4091982807573192,0.0004559299193839062,16
24,SZ300110,0.5170747,0.52638495,0.520607,6.7054916e-06,11,-0.05171824608313039,0.002085714961586364,-0.03331981953447292,0.00025557590974259486,11,0.2857142856122449,0.47826086935727785,0.40321113222027233,0.003057048697457214,11
25,SZ300832,0.51499534,0.529645,0.5209171,1.5663709e-05,19,-0.19128096130480068,0.007809715384395014,-0.07639768267625735,0.002159060723065121,19,0.3684210525669437,0.5199999999306667,0.44533175825248267,0.0017237031532372662,19
26,SH688623,0.51719767,0.53082144,0.52253646,1.4602074e-05,17,-0.21988190959387713,-0.12110989506735574,-0.17066024685387599,0.0006113492932934572,17,0.2816901408053958,0.38461538456607497,0.33677017591016817,0.0008272531383761556,17
27,SZ300470,0.51974255,0.5309018,0.5265933,1.199565e-05,13,-0.17623473433467693,-0.05713588599468491,-0.12183126389202055,0.0009177097819831875,13,0.39999999992,0.48275862060642094,0.4364826722969315,0.00103762297764308,13
28,SZ301303,0.5218218,0.5376056,0.5278768,2.3730428e-05,13,-0.21980049221720382,-0.11350594277782136,-0.1772942191084847,0.0010497405058968368,13,0.41666666655092593,0.5384615383234714,0.4857403977598192,0.0012338062477933564,13
29,SZ301559,0.52314985,0.5336065,0.5279018,1.0333091e-05,13,-0.1602233189615196,-0.07459014767350886,-0.12036874035675539,0.0006357903480545014,13,0.34999999994166664,0.4999999998958333,0.4541386230872168,0.0018849405628175552,13
30,SZ300009,0.52586573,0.5349829,0.52914554,6.0596094e-06,16,-0.14333067683746573,-0.04949341603470639,-0.11007414859851909,0.0006234086681226323,16,0.42222222212839505,0.5909090907747934,0.5045281743744563,0.001639748242279598,16
31,SZ301175,0.5220898,0.53979886,0.53023416,3.0473373e-05,20,-0.10990510764304101,-0.051471024975485134,-0.08611384110001222,0.0002391223396379906,20,0.26315789466759004,0.4117647058016148,0.35188021741939063,0.0014577993704301677,20
