,code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,SH.510760,上证综指ETF,2020-09-09 00:00:00,0.838,0.836,0.848,0.831,0.0,0.0,85498300,84037745.0,-0.23866348448687374,0.838
1,SH.510760,上证综指ETF,2020-09-10 00:00:00,0.84,0.816,0.842,0.814,0.0,0.0,56351100,54747486.0,-2.3923444976076578,0.836
2,SH.510760,上证综指ETF,2020-09-11 00:00:00,0.814,0.823,0.823,0.812,0.0,0.0,49397100,47392792.0,0.8578431372549027,0.816
3,SH.510760,上证综指ETF,2020-09-14 00:00:00,0.823,0.824,0.826,0.819,0.0,0.0,35559900,34300524.0,0.12150668286755784,0.823
4,SH.510760,上证综指ETF,2020-09-15 00:00:00,0.824,0.825,0.826,0.819,0.0,0.0,31995700,30843576.0,0.12135922330097099,0.824
5,SH.510760,上证综指ETF,2020-09-16 00:00:00,0.827,0.822,0.827,0.818,0.0,0.0,30502000,29414376.0,-0.363636363636364,0.825
6,SH.510760,上证综指ETF,2020-09-17 00:00:00,0.822,0.817,0.823,0.812,0.0,0.0,39844200,38173723.0,-0.6082725060827257,0.822
7,SH.510760,上证综指ETF,2020-09-18 00:00:00,0.816,0.833,0.836,0.815,0.0,0.0,52025591,50282731.0,1.9583843329253385,0.817
8,SH.510760,上证综指ETF,2020-09-21 00:00:00,0.835,0.829,0.838,0.827,0.0,0.0,44131322,42973178.0,-0.4801920768307328,0.833
9,SH.510760,上证综指ETF,2020-09-22 00:00:00,0.822,0.82,0.832,0.816,0.0,0.0,49935000,48233534.0,-1.0856453558504233,0.829
10,SH.510760,上证综指ETF,2020-09-23 00:00:00,0.821,0.82,0.823,0.816,0.0,0.0,35694600,34322166.0,0.0,0.82
11,SH.510760,上证综指ETF,2020-09-24 00:00:00,0.817,0.805,0.818,0.804,0.0,0.0,36520000,34754126.0,-1.829268292682915,0.82
12,SH.510760,上证综指ETF,2020-09-25 00:00:00,0.804,0.805,0.81,0.8,0.0,0.0,35798000,33869285.0,0.0,0.805
13,SH.510760,上证综指ETF,2020-09-28 00:00:00,0.805,0.803,0.809,0.8,0.0,0.0,32300500,30576093.0,-0.24844720496894432,0.805
14,SH.510760,上证综指ETF,2020-09-29 00:00:00,0.808,0.806,0.811,0.803,0.0,0.0,39707900,37700155.0,0.37359900373599036,0.803
15,SH.510760,上证综指ETF,2020-09-30 00:00:00,0.807,0.806,0.812,0.799,0.0,0.0,34304200,32512604.0,0.0,0.806
16,SH.510760,上证综指ETF,2020-10-09 00:00:00,0.813,0.819,0.821,0.812,0.0,0.0,38655800,37116636.0,1.612903225806439,0.806
17,SH.510760,上证综指ETF,2020-10-12 00:00:00,0.822,0.843,0.845,0.821,0.0,0.0,70661794,69095181.0,2.9304029304029333,0.819
18,SH.510760,上证综指ETF,2020-10-13 00:00:00,0.842,0.843,0.845,0.837,0.0,0.0,42469900,41706438.0,0.0,0.843
19,SH.510760,上证综指ETF,2020-10-14 00:00:00,0.843,0.837,0.843,0.835,0.0,0.0,37191000,36444406.0,-0.7117437722419936,0.843
20,SH.510760,上证综指ETF,2020-10-15 00:00:00,0.837,0.835,0.841,0.833,0.0,0.0,32889400,32179270.0,-0.23894862604540043,0.837
21,SH.510760,上证综指ETF,2020-10-16 00:00:00,0.837,0.835,0.84,0.831,0.0,0.0,36165300,35351938.0,0.0,0.835
22,SH.510760,上证综指ETF,2020-10-19 00:00:00,0.838,0.829,0.846,0.826,0.0,0.0,44255000,43344268.0,-0.7185628742514977,0.835
23,SH.510760,上证综指ETF,2020-10-20 00:00:00,0.828,0.833,0.833,0.823,0.0,0.0,36066800,34922576.0,0.4825090470446326,0.829
