,code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,SH.510880,红利ETF,2015-02-25 00:00:00,1.318,1.299,1.323,1.29,0.0,0.0,4444081,0.0,-0.9908536585365948,1.312
1,SH.510880,红利ETF,2015-02-26 00:00:00,1.297,1.373,1.375,1.297,0.0,0.0,7443237,0.0,5.696689761354894,1.299
2,SH.510880,红利ETF,2015-02-27 00:00:00,1.37,1.373,1.383,1.36,0.0,0.0,6656198,0.0,0.0,1.373
3,SH.510880,红利ETF,2015-03-02 00:00:00,1.381,1.397,1.4,1.37,0.0,0.0,15739469,0.0,1.747997086671524,1.373
4,SH.510880,红利ETF,2015-03-03 00:00:00,1.396,1.365,1.396,1.364,0.0,0.0,10347201,0.0,-2.29062276306371,1.397
5,SH.510880,红利ETF,2015-03-04 00:00:00,1.365,1.368,1.377,1.351,0.0,0.0,5680355,0.0,0.2197802197802281,1.365
6,SH.510880,红利ETF,2015-03-05 00:00:00,1.365,1.338,1.368,1.315,0.0,0.0,6160221,0.0,-2.1929824561403524,1.368
7,SH.510880,红利ETF,2015-03-06 00:00:00,1.341,1.336,1.353,1.33,0.0,0.0,5297217,0.0,-0.14947683109118098,1.338
8,SH.510880,红利ETF,2015-03-09 00:00:00,1.3,1.408,1.409,1.3,0.0,0.0,8245538,0.0,5.389221556886215,1.336
9,SH.510880,红利ETF,2015-03-10 00:00:00,1.405,1.394,1.411,1.372,0.0,0.0,7031814,0.0,-0.9943181818181829,1.408
10,SH.510880,红利ETF,2015-03-11 00:00:00,1.399,1.405,1.429,1.385,0.0,0.0,10125894,0.0,0.7890961262553888,1.394
11,SH.510880,红利ETF,2015-03-12 00:00:00,1.41,1.46,1.47,1.41,0.0,0.0,13652071,0.0,3.9145907473309567,1.405
12,SH.510880,红利ETF,2015-03-13 00:00:00,1.47,1.476,1.495,1.462,0.0,0.0,7658970,0.0,1.0958904109589052,1.46
13,SH.510880,红利ETF,2015-03-16 00:00:00,1.486,1.526,1.527,1.48,0.0,0.0,8569450,0.0,3.3875338753387565,1.476
14,SH.510880,红利ETF,2015-03-17 00:00:00,1.535,1.569,1.57,1.533,0.0,0.0,11751432,0.0,2.8178243774574,1.526
15,SH.510880,红利ETF,2015-03-18 00:00:00,1.576,1.655,1.656,1.576,0.0,0.0,62141223,0.0,5.4811982154238414,1.569
16,SH.510880,红利ETF,2015-03-19 00:00:00,1.655,1.652,1.67,1.64,0.0,0.0,16800587,0.0,-0.18126888217523346,1.655
17,SH.510880,红利ETF,2015-03-20 00:00:00,1.66,1.688,1.696,1.652,0.0,0.0,9829485,0.0,2.1791767554479438,1.652
18,SH.510880,红利ETF,2015-03-23 00:00:00,1.698,1.746,1.747,1.698,0.0,0.0,10234552,0.0,3.4360189573459743,1.688
19,SH.510880,红利ETF,2015-03-24 00:00:00,1.745,1.769,1.782,1.692,0.0,0.0,16357570,0.0,1.3172966781214153,1.746
20,SH.510880,红利ETF,2015-03-25 00:00:00,1.75,1.752,1.77,1.734,0.0,0.0,7281902,0.0,-0.9609949123798703,1.769
21,SH.510880,红利ETF,2015-03-26 00:00:00,1.738,1.735,1.782,1.706,0.0,0.0,8026645,0.0,-0.9703196347031909,1.752
22,SH.510880,红利ETF,2015-03-27 00:00:00,1.736,1.756,1.766,1.72,0.0,0.0,5634888,0.0,1.210374639769447,1.735
23,SH.510880,红利ETF,2015-03-30 00:00:00,1.76,1.841,1.842,1.76,0.0,0.0,8685695,0.0,4.8405466970387225,1.756
24,SH.510880,红利ETF,2015-03-31 00:00:00,1.851,1.805,1.868,1.798,0.0,0.0,8028795,0.0,-1.9554589896795236,1.841
25,SH.510880,红利ETF,2015-04-01 00:00:00,1.804,1.851,1.868,1.801,0.0,0.0,7209311,0.0,2.548476454293631,1.805
26,SH.510880,红利ETF,2015-04-02 00:00:00,1.87,1.893,1.894,1.84,0.0,0.0,9918541,0.0,2.269043760129662,1.851
27,SH.510880,红利ETF,2015-04-03 00:00:00,1.89,1.945,1.948,1.87,0.0,0.0,8193486,0.0,2.7469624933967274,1.893
28,SH.510880,红利ETF,2015-04-07 00:00:00,1.97,2.051,2.069,1.97,0.0,0.0,10331692,0.0,5.449871465295635,1.945
29,SH.510880,红利ETF,2015-04-08 00:00:00,2.053,2.101,2.102,2.022,0.0,0.0,12334018,0.0,2.4378352023403127,2.051
30,SH.510880,红利ETF,2015-04-09 00:00:00,2.101,2.091,2.13,2.015,0.0,0.0,12204941,0.0,-0.4759638267491569,2.101
31,SH.510880,红利ETF,2015-04-10 00:00:00,2.079,2.162,2.164,2.052,0.0,0.0,46770065,0.0,3.395504543280713,2.091
32,SH.510880,红利ETF,2015-04-13 00:00:00,2.2,2.2,2.208,2.156,0.0,0.0,9894291,0.0,1.757631822386691,2.162
33,SH.510880,红利ETF,2015-04-14 00:00:00,2.172,2.216,2.245,2.16,0.0,0.0,8502758,0.0,0.7272727272727278,2.2
34,SH.510880,红利ETF,2015-04-15 00:00:00,2.213,2.191,2.245,2.17,0.0,0.0,8465671,0.0,-1.1281588447653588,2.216
35,SH.510880,红利ETF,2015-04-16 00:00:00,2.15,2.263,2.264,2.116,0.0,0.0,11363699,0.0,3.286170698311276,2.191
36,SH.510880,红利ETF,2015-04-17 00:00:00,2.29,2.325,2.349,2.285,0.0,0.0,12280072,0.0,2.7397260273972726,2.263
37,SH.510880,红利ETF,2015-04-20 00:00:00,2.295,2.22,2.344,2.214,0.0,0.0,16927565,0.0,-4.516129032258063,2.325
38,SH.510880,红利ETF,2015-04-21 00:00:00,2.23,2.282,2.289,2.205,0.0,0.0,10126525,0.0,2.792792792792785,2.22
39,SH.510880,红利ETF,2015-04-22 00:00:00,2.292,2.387,2.388,2.292,0.0,0.0,8504043,0.0,4.60122699386503,2.282
40,SH.510880,红利ETF,2015-04-23 00:00:00,2.4,2.397,2.425,2.37,0.0,0.0,9758024,0.0,0.4189359028068616,2.387
41,SH.510880,红利ETF,2015-04-24 00:00:00,2.38,2.341,2.38,2.29,0.0,0.0,10027216,0.0,-2.3362536503963125,2.397
42,SH.510880,红利ETF,2015-04-27 00:00:00,2.345,2.412,2.415,2.345,0.0,0.0,11620193,0.0,3.0328919265271135,2.341
43,SH.510880,红利ETF,2015-04-28 00:00:00,2.41,2.345,2.42,2.32,0.0,0.0,10275898,0.0,-2.7777777777777666,2.412
44,SH.510880,红利ETF,2015-04-29 00:00:00,2.341,2.348,2.37,2.304,0.0,0.0,5590505,0.0,0.1279317697228004,2.345
45,SH.510880,红利ETF,2015-04-30 00:00:00,2.358,2.347,2.385,2.34,0.0,0.0,5174611,0.0,-0.0425894378194161,2.348
46,SH.510880,红利ETF,2015-05-04 00:00:00,2.346,2.397,2.4,2.317,0.0,0.0,7641680,0.0,2.1303792074989274,2.347
47,SH.510880,红利ETF,2015-05-05 00:00:00,2.397,2.244,2.415,2.22,0.0,0.0,10738139,0.0,-6.382978723404238,2.397
48,SH.510880,红利ETF,2015-05-06 00:00:00,2.239,2.169,2.29,2.136,0.0,0.0,7787331,0.0,-3.3422459893048204,2.244
49,SH.510880,红利ETF,2015-05-07 00:00:00,2.16,2.061,2.16,2.053,0.0,0.0,11129754,0.0,-4.9792531120331995,2.169
50,SH.510880,红利ETF,2015-05-08 00:00:00,2.065,2.128,2.138,2.056,0.0,0.0,8003689,0.0,3.2508491023774946,2.061
51,SH.510880,红利ETF,2015-05-11 00:00:00,2.141,2.239,2.239,2.12,0.0,0.0,14898299,0.0,5.216165413533823,2.128
52,SH.510880,红利ETF,2015-05-12 00:00:00,2.239,2.282,2.286,2.23,0.0,0.0,6430819,0.0,1.9205002233139863,2.239
53,SH.510880,红利ETF,2015-05-13 00:00:00,2.28,2.253,2.285,2.245,0.0,0.0,7037182,0.0,-1.2708150744960522,2.282
54,SH.510880,红利ETF,2015-05-14 00:00:00,2.244,2.268,2.287,2.231,0.0,0.0,8952176,0.0,0.665778961384806,2.253
55,SH.510880,红利ETF,2015-05-15 00:00:00,2.252,2.219,2.254,2.19,0.0,0.0,5687894,0.0,-2.160493827160491,2.268
56,SH.510880,红利ETF,2015-05-18 00:00:00,2.208,2.177,2.225,2.17,0.0,0.0,7263985,0.0,-1.89274447949526,2.219
57,SH.510880,红利ETF,2015-05-19 00:00:00,2.17,2.283,2.288,2.17,0.0,0.0,8755375,0.0,4.869085898024799,2.177
58,SH.510880,红利ETF,2015-05-20 00:00:00,2.289,2.301,2.373,2.289,0.0,0.0,8196751,0.0,0.7884362680683417,2.283
59,SH.510880,红利ETF,2015-05-21 00:00:00,2.303,2.397,2.4,2.303,0.0,0.0,8849292,0.0,4.172099087353309,2.301
60,SH.510880,红利ETF,2015-05-22 00:00:00,2.431,2.486,2.488,2.416,0.0,0.0,11633018,0.0,3.712974551522754,2.397
61,SH.510880,红利ETF,2015-05-25 00:00:00,2.494,2.612,2.613,2.482,0.0,0.0,9064912,0.0,5.068382944489135,2.486
62,SH.510880,红利ETF,2015-05-26 00:00:00,2.64,2.664,2.665,2.554,0.0,0.0,11404673,0.0,1.9908116385911194,2.612
63,SH.510880,红利ETF,2015-05-27 00:00:00,2.734,2.664,2.734,2.615,0.0,0.0,24892840,0.0,0.0,2.664
