,code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,SH.512670,国防ETF,2019-08-01 00:00:00,0.5035,0.4975,0.504,0.496,0.0,0.0,215798814,108366186.0,-1.191658391261162,0.5035
1,SH.512670,国防ETF,2019-08-02 00:00:00,0.4925,0.4915,0.494,0.4855,0.0,0.0,39375966,19330816.0,-1.20603015075377,0.4975
2,SH.512670,国防ETF,2019-08-05 00:00:00,0.4905,0.49,0.5,0.489,0.0,0.0,37628310,18647700.0,-0.3051881993896239,0.4915
3,SH.512670,国防ETF,2019-08-06 00:00:00,0.483,0.4815,0.485,0.472,0.0,0.0,30888246,14776205.0,-1.7346938775510221,0.49
4,SH.512670,国防ETF,2019-08-07 00:00:00,0.484,0.4755,0.484,0.475,0.0,0.0,25650400,12311807.0,-1.2461059190031165,0.4815
5,SH.512670,国防ETF,2019-08-08 00:00:00,0.477,0.4805,0.4835,0.4755,0.0,0.0,16781200,8031309.0,1.0515247108307055,0.4755
6,SH.512670,国防ETF,2019-08-09 00:00:00,0.4805,0.4685,0.4815,0.4685,0.0,0.0,23637674,11186525.0,-2.497398543184174,0.4805
7,SH.512670,国防ETF,2019-08-12 00:00:00,0.4685,0.4755,0.477,0.4665,0.0,0.0,25662400,12059926.0,1.4941302027748027,0.4685
8,SH.512670,国防ETF,2019-08-13 00:00:00,0.475,0.473,0.4775,0.4675,0.0,0.0,31953400,15125654.0,-0.5257623554153528,0.4755
9,SH.512670,国防ETF,2019-08-14 00:00:00,0.473,0.4755,0.48,0.473,0.0,0.0,22556400,10763093.0,0.5285412262156454,0.473
10,SH.512670,国防ETF,2019-08-15 00:00:00,0.466,0.478,0.479,0.466,0.0,0.0,22213200,10498655.0,0.5257623554153528,0.4755
11,SH.512670,国防ETF,2019-08-16 00:00:00,0.4745,0.4815,0.485,0.4745,0.0,0.0,32425450,15595960.0,0.7322175732217581,0.478
12,SH.512670,国防ETF,2019-08-19 00:00:00,0.482,0.496,0.498,0.482,0.0,0.0,47006386,23132707.0,3.0114226375908646,0.4815
13,SH.512670,国防ETF,2019-08-20 00:00:00,0.497,0.4975,0.5025,0.496,0.0,0.0,77190544,38541600.0,0.3024193548387099,0.496
14,SH.512670,国防ETF,2019-08-21 00:00:00,0.4975,0.5,0.5025,0.495,0.0,0.0,61623800,30849711.0,0.5025125628140708,0.4975
15,SH.512670,国防ETF,2019-08-22 00:00:00,0.504,0.504,0.5065,0.5,0.0,0.0,96232796,48487455.0,0.8000000000000007,0.5
16,SH.512670,国防ETF,2019-08-23 00:00:00,0.5035,0.501,0.5075,0.4995,0.0,0.0,31974416,16076156.0,-0.5952380952380957,0.504
17,SH.512670,国防ETF,2019-08-26 00:00:00,0.501,0.502,0.5035,0.4955,0.0,0.0,43317954,21697456.0,0.19960079840319378,0.501
18,SH.512670,国防ETF,2019-08-27 00:00:00,0.503,0.513,0.5145,0.503,0.0,0.0,177661168,90771857.0,2.1912350597609582,0.502
19,SH.512670,国防ETF,2019-08-28 00:00:00,0.513,0.511,0.52,0.51,0.0,0.0,74847768,38616598.0,-0.3898635477582849,0.513
20,SH.512670,国防ETF,2019-08-29 00:00:00,0.5125,0.518,0.5205,0.5115,0.0,0.0,73470068,38027293.0,1.3698630136986312,0.511
21,SH.512670,国防ETF,2019-08-30 00:00:00,0.52,0.5245,0.5295,0.5185,0.0,0.0,97858000,51331447.0,1.2548262548262452,0.518
22,SH.512670,国防ETF,2019-09-02 00:00:00,0.528,0.555,0.5605,0.528,0.0,0.0,163999310,89511645.0,5.81506196377504,0.5245
23,SH.512670,国防ETF,2019-09-03 00:00:00,0.555,0.562,0.5655,0.548,0.0,0.0,91075862,50602155.0,1.2612612612612621,0.555
24,SH.512670,国防ETF,2019-09-04 00:00:00,0.557,0.5565,0.5595,0.548,0.0,0.0,82710218,45847287.0,-0.9786476868327509,0.562
25,SH.512670,国防ETF,2019-09-05 00:00:00,0.5565,0.5575,0.566,0.5535,0.0,0.0,95187466,53292484.0,0.179694519317161,0.5565
26,SH.512670,国防ETF,2019-09-06 00:00:00,0.56,0.558,0.562,0.555,0.0,0.0,51641440,28813996.0,0.08968609865471856,0.5575
27,SH.512670,国防ETF,2019-09-09 00:00:00,0.5645,0.5675,0.568,0.5565,0.0,0.0,71115866,39947652.0,1.7025089605734682,0.558
28,SH.512670,国防ETF,2019-09-10 00:00:00,0.5675,0.559,0.575,0.556,0.0,0.0,59879880,33813086.0,-1.4977973568281855,0.5675
29,SH.512670,国防ETF,2019-09-11 00:00:00,0.561,0.5535,0.561,0.5525,0.0,0.0,48740440,27157505.0,-0.9838998211091342,0.559
30,SH.512670,国防ETF,2019-09-12 00:00:00,0.5535,0.554,0.555,0.5505,0.0,0.0,37649600,20816174.0,0.09033423667571021,0.5535
31,SH.512670,国防ETF,2019-09-16 00:00:00,0.555,0.5555,0.559,0.554,0.0,0.0,45176800,25175938.0,0.2707581227436725,0.554
32,SH.512670,国防ETF,2019-09-17 00:00:00,0.555,0.537,0.5555,0.5355,0.0,0.0,43411200,23566944.0,-3.330333033303323,0.5555
33,SH.512670,国防ETF,2019-09-18 00:00:00,0.537,0.5355,0.541,0.5345,0.0,0.0,35727928,19213703.0,-0.279329608938558,0.537
34,SH.512670,国防ETF,2019-09-19 00:00:00,0.535,0.5445,0.545,0.535,0.0,0.0,33379348,18036245.0,1.6806722689075646,0.5355
35,SH.512670,国防ETF,2019-09-20 00:00:00,0.5445,0.541,0.547,0.5375,0.0,0.0,30659000,16595388.0,-0.6427915518824514,0.5445
36,SH.512670,国防ETF,2019-09-23 00:00:00,0.541,0.541,0.544,0.5355,0.0,0.0,26702000,14397894.0,0.0,0.541
37,SH.512670,国防ETF,2019-09-24 00:00:00,0.541,0.545,0.549,0.539,0.0,0.0,31542466,17164371.0,0.739371534195934,0.541
38,SH.512670,国防ETF,2019-09-25 00:00:00,0.545,0.536,0.545,0.535,0.0,0.0,28270800,15247679.0,-1.6513761467889922,0.545
39,SH.512670,国防ETF,2019-09-26 00:00:00,0.54,0.511,0.54,0.5105,0.0,0.0,40124600,20910793.0,-4.664179104477616,0.536
40,SH.512670,国防ETF,2019-09-27 00:00:00,0.511,0.5205,0.523,0.511,0.0,0.0,29551600,15367194.0,1.8590998043052747,0.511
41,SH.512670,国防ETF,2019-09-30 00:00:00,0.5245,0.516,0.5245,0.515,0.0,0.0,22596200,11710136.0,-0.8645533141210276,0.5205
42,SH.512670,国防ETF,2019-10-08 00:00:00,0.516,0.5055,0.5205,0.505,0.0,0.0,29523000,15011394.0,-2.034883720930245,0.516
43,SH.512670,国防ETF,2019-10-09 00:00:00,0.505,0.51,0.51,0.5,0.0,0.0,145101200,73702429.0,0.890207715133543,0.5055
44,SH.512670,国防ETF,2019-10-10 00:00:00,0.51,0.516,0.516,0.51,0.0,0.0,30083800,15451804.0,1.176470588235295,0.51
45,SH.512670,国防ETF,2019-10-11 00:00:00,0.5155,0.512,0.5155,0.509,0.0,0.0,31954564,16381911.0,-0.7751937984496131,0.516
46,SH.512670,国防ETF,2019-10-14 00:00:00,0.513,0.5215,0.523,0.513,0.0,0.0,41617000,21567789.0,1.8554687499999907,0.512
47,SH.512670,国防ETF,2019-10-15 00:00:00,0.5215,0.513,0.5215,0.5095,0.0,0.0,24483200,12545880.0,-1.629913710450614,0.5215
48,SH.512670,国防ETF,2019-10-16 00:00:00,0.513,0.509,0.5135,0.5085,0.0,0.0,14782200,7563597.0,-0.7797270955165698,0.513
49,SH.512670,国防ETF,2019-10-17 00:00:00,0.509,0.5075,0.511,0.507,0.0,0.0,28804600,14665263.0,-0.294695481335964,0.509
50,SH.512670,国防ETF,2019-10-18 00:00:00,0.509,0.4995,0.5095,0.498,0.0,0.0,18566000,9363548.0,-1.5763546798029462,0.5075
51,SH.512670,国防ETF,2019-10-21 00:00:00,0.4995,0.497,0.4995,0.4885,0.0,0.0,18439600,9132899.0,-0.5005005005005009,0.4995
52,SH.512670,国防ETF,2019-10-22 00:00:00,0.4975,0.5035,0.5045,0.4975,0.0,0.0,82357600,41328711.0,1.3078470824949597,0.497
53,SH.512670,国防ETF,2019-10-23 00:00:00,0.5045,0.5025,0.506,0.5015,0.0,0.0,30155400,15225088.0,-0.19860973187686218,0.5035
54,SH.512670,国防ETF,2019-10-24 00:00:00,0.5015,0.5015,0.503,0.496,0.0,0.0,85679582,42885367.0,-0.1990049751243783,0.5025
55,SH.512670,国防ETF,2019-10-25 00:00:00,0.5015,0.5075,0.5085,0.499,0.0,0.0,22509000,11281805.0,1.1964107676969105,0.5015
56,SH.512670,国防ETF,2019-10-28 00:00:00,0.51,0.522,0.522,0.51,0.0,0.0,23875200,12352685.0,2.857142857142871,0.5075
57,SH.512670,国防ETF,2019-10-29 00:00:00,0.5225,0.512,0.5225,0.5115,0.0,0.0,27454402,14178290.0,-1.915708812260538,0.522
58,SH.512670,国防ETF,2019-10-30 00:00:00,0.512,0.508,0.512,0.504,0.0,0.0,33131800,16818548.0,-0.7812500000000007,0.512
59,SH.512670,国防ETF,2019-10-31 00:00:00,0.509,0.5035,0.51,0.503,0.0,0.0,26421400,13388678.0,-0.8858267716535551,0.508
60,SH.512670,国防ETF,2019-11-01 00:00:00,0.5035,0.509,0.5105,0.5035,0.0,0.0,12049400,6115613.0,1.092353525322753,0.5035
61,SH.512670,国防ETF,2019-11-04 00:00:00,0.511,0.5075,0.512,0.5055,0.0,0.0,20597600,10477222.0,-0.294695481335964,0.509
62,SH.512670,国防ETF,2019-11-05 00:00:00,0.509,0.5085,0.5115,0.505,0.0,0.0,27595400,14013273.0,0.19704433497536966,0.5075
63,SH.512670,国防ETF,2019-11-06 00:00:00,0.5125,0.5145,0.5225,0.5125,0.0,0.0,177328600,91788964.0,1.1799410029498536,0.5085
64,SH.512670,国防ETF,2019-11-07 00:00:00,0.5145,0.512,0.5145,0.509,0.0,0.0,69795600,35663149.0,-0.485908649173945,0.5145
65,SH.512670,国防ETF,2019-11-08 00:00:00,0.5135,0.5095,0.515,0.5075,0.0,0.0,34531800,17651316.0,-0.48828125000001127,0.512
66,SH.512670,国防ETF,2019-11-11 00:00:00,0.505,0.4965,0.5095,0.494,0.0,0.0,31056400,15463888.0,-2.5515210991167727,0.5095
67,SH.512670,国防ETF,2019-11-12 00:00:00,0.4965,0.4915,0.4965,0.4855,0.0,0.0,25991800,12713136.0,-1.0070493454179263,0.4965
68,SH.512670,国防ETF,2019-11-13 00:00:00,0.4915,0.492,0.493,0.49,0.0,0.0,18167600,8921505.0,0.10172939979654129,0.4915
69,SH.512670,国防ETF,2019-11-14 00:00:00,0.492,0.4955,0.4965,0.491,0.0,0.0,22105200,10891689.0,0.7113821138211389,0.492
70,SH.512670,国防ETF,2019-11-15 00:00:00,0.4955,0.4915,0.497,0.491,0.0,0.0,24892400,12296838.0,-0.8072653884964689,0.4955
71,SH.512670,国防ETF,2019-11-18 00:00:00,0.4915,0.4955,0.497,0.489,0.0,0.0,58197400,28639020.0,0.8138351983723303,0.4915
72,SH.512670,国防ETF,2019-11-19 00:00:00,0.4955,0.5035,0.5045,0.495,0.0,0.0,17770800,8916238.0,1.6145307769929267,0.4955
73,SH.512670,国防ETF,2019-11-20 00:00:00,0.504,0.5005,0.504,0.4985,0.0,0.0,13299200,6668987.0,-0.5958291956305865,0.5035
74,SH.512670,国防ETF,2019-11-21 00:00:00,0.5,0.504,0.505,0.4965,0.0,0.0,18845400,9475118.0,0.6993006993007111,0.5005
75,SH.512670,国防ETF,2019-11-22 00:00:00,0.504,0.4995,0.5065,0.497,0.0,0.0,14786800,7427930.0,-0.8928571428571437,0.504
76,SH.512670,国防ETF,2019-11-25 00:00:00,0.4995,0.4935,0.4995,0.491,0.0,0.0,17035600,8420101.0,-1.2012012012012023,0.4995
77,SH.512670,国防ETF,2019-11-26 00:00:00,0.495,0.4955,0.498,0.4925,0.0,0.0,16135000,7989694.0,0.4052684903748737,0.4935
78,SH.512670,国防ETF,2019-11-27 00:00:00,0.4955,0.496,0.499,0.493,0.0,0.0,19843800,9856689.0,0.10090817356205861,0.4955
79,SH.512670,国防ETF,2019-11-28 00:00:00,0.496,0.495,0.4975,0.4935,0.0,0.0,19536200,9669865.0,-0.2016129032258066,0.496
80,SH.512670,国防ETF,2019-11-29 00:00:00,0.495,0.497,0.4975,0.4915,0.0,0.0,7055200,3488610.0,0.40404040404040437,0.495
81,SH.512670,国防ETF,2019-12-02 00:00:00,0.497,0.499,0.501,0.4965,0.0,0.0,19771400,9873230.0,0.40241448692152954,0.497
82,SH.512670,国防ETF,2019-12-03 00:00:00,0.4975,0.504,0.5045,0.4975,0.0,0.0,23630400,11832776.0,1.0020040080160328,0.499
83,SH.512670,国防ETF,2019-12-04 00:00:00,0.504,0.511,0.511,0.4995,0.0,0.0,36856600,18738863.0,1.38888888888889,0.504
84,SH.512670,国防ETF,2019-12-05 00:00:00,0.5105,0.5145,0.5165,0.5105,0.0,0.0,41701200,21436195.0,0.6849315068493048,0.511
85,SH.512670,国防ETF,2019-12-06 00:00:00,0.5145,0.516,0.516,0.511,0.0,0.0,16470800,8454219.0,0.29154518950438424,0.5145
86,SH.512670,国防ETF,2019-12-09 00:00:00,0.516,0.5165,0.518,0.5135,0.0,0.0,20617600,10638819.0,0.09689922480619088,0.516
87,SH.512670,国防ETF,2019-12-10 00:00:00,0.515,0.5165,0.517,0.512,0.0,0.0,29185000,15029553.0,0.0,0.5165
88,SH.512670,国防ETF,2019-12-11 00:00:00,0.5165,0.515,0.5185,0.5145,0.0,0.0,27326200,14098867.0,-0.2904162633107349,0.5165
89,SH.512670,国防ETF,2019-12-12 00:00:00,0.515,0.515,0.5195,0.5145,0.0,0.0,30671200,15856406.0,0.0,0.515
90,SH.512670,国防ETF,2019-12-13 00:00:00,0.5185,0.517,0.52,0.514,0.0,0.0,21752400,11227109.0,0.3883495145631071,0.515
91,SH.512670,国防ETF,2019-12-16 00:00:00,0.517,0.5305,0.531,0.517,0.0,0.0,40605600,21334768.0,2.611218568665369,0.517
92,SH.512670,国防ETF,2019-12-17 00:00:00,0.53,0.533,0.535,0.5295,0.0,0.0,26403500,14083251.0,0.4712535344015189,0.5305
93,SH.512670,国防ETF,2019-12-18 00:00:00,0.5345,0.5315,0.537,0.5315,0.0,0.0,28687200,15305378.0,-0.2814258911819994,0.533
94,SH.512670,国防ETF,2019-12-19 00:00:00,0.531,0.531,0.5355,0.53,0.0,0.0,22689400,12082012.0,-0.09407337723423236,0.5315
95,SH.512670,国防ETF,2019-12-20 00:00:00,0.531,0.5225,0.531,0.522,0.0,0.0,19125600,10041710.0,-1.6007532956685617,0.531
96,SH.512670,国防ETF,2019-12-23 00:00:00,0.5225,0.5115,0.523,0.511,0.0,0.0,27293000,14118754.0,-2.105263157894739,0.5225
