,code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,SH.512690,酒ETF,2019-05-06 00:00:00,0.122,0.104,0.142,0.104,0.0,0.0,36968522,17287144.0,-14.75409836065574,0.122
1,SH.512690,酒ETF,2019-05-07 00:00:00,0.1075,0.1255,0.131,0.1075,0.0,0.0,40651600,19239358.0,20.67307692307693,0.104
2,SH.512690,酒ETF,2019-05-08 00:00:00,0.1195,0.1265,0.1375,0.113,0.0,0.0,43880558,20946175.0,0.7968127490039847,0.1255
3,SH.512690,酒ETF,2019-05-09 00:00:00,0.119,0.1075,0.1245,0.101,0.0,0.0,44480200,20504939.0,-15.019762845849804,0.1265
4,SH.512690,酒ETF,2019-05-10 00:00:00,0.114,0.1335,0.1375,0.1125,0.0,0.0,58117036,27679929.0,24.186046511627914,0.1075
5,SH.512690,酒ETF,2019-05-13 00:00:00,0.133,0.136,0.1405,0.1205,0.0,0.0,49612636,24124112.0,1.872659176029964,0.1335
6,SH.512690,酒ETF,2019-05-14 00:00:00,0.125,0.132,0.14,0.125,0.0,0.0,29779600,14413965.0,-2.9411764705882377,0.136
7,SH.512690,酒ETF,2019-05-15 00:00:00,0.1355,0.1595,0.1615,0.1355,0.0,0.0,233736400,117712978.0,20.83333333333333,0.132
8,SH.512690,酒ETF,2019-05-16 00:00:00,0.157,0.1655,0.17,0.1505,0.0,0.0,99796040,51065839.0,3.7617554858934197,0.1595
9,SH.512690,酒ETF,2019-05-17 00:00:00,0.164,0.15,0.169,0.146,0.0,0.0,81503000,41297833.0,-9.365558912386716,0.1655
10,SH.512690,酒ETF,2019-05-20 00:00:00,0.15,0.138,0.15,0.1265,0.0,0.0,58527000,28386201.0,-7.999999999999989,0.15
11,SH.512690,酒ETF,2019-05-21 00:00:00,0.1385,0.1455,0.151,0.128,0.0,0.0,55793200,27517499.0,5.434782608695636,0.138
12,SH.512690,酒ETF,2019-05-22 00:00:00,0.145,0.1395,0.1465,0.1345,0.0,0.0,66125000,32345621.0,-4.12371134020617,0.1455
13,SH.512690,酒ETF,2019-05-23 00:00:00,0.1345,0.123,0.139,0.12,0.0,0.0,58782800,28015361.0,-11.82795698924732,0.1395
14,SH.512690,酒ETF,2019-05-24 00:00:00,0.121,0.129,0.1345,0.121,0.0,0.0,39945400,19161075.0,4.878048780487809,0.123
15,SH.512690,酒ETF,2019-05-27 00:00:00,0.127,0.1325,0.134,0.119,0.0,0.0,64041600,30533972.0,2.713178294573646,0.129
16,SH.512690,酒ETF,2019-05-28 00:00:00,0.132,0.133,0.141,0.1275,0.0,0.0,53249000,25791681.0,0.37735849056603804,0.1325
17,SH.512690,酒ETF,2019-05-29 00:00:00,0.132,0.139,0.144,0.13,0.0,0.0,40368600,19726573.0,4.5112781954887256,0.133
18,SH.512690,酒ETF,2019-05-30 00:00:00,0.1385,0.1355,0.1405,0.1275,0.0,0.0,46609000,22416566.0,-2.5179856115107935,0.139
19,SH.512690,酒ETF,2019-05-31 00:00:00,0.136,0.1295,0.136,0.127,0.0,0.0,35408556,17002263.0,-4.428044280442808,0.1355
20,SH.512690,酒ETF,2019-06-03 00:00:00,0.132,0.125,0.135,0.1225,0.0,0.0,62152600,29603076.0,-3.4749034749034777,0.1295
21,SH.512690,酒ETF,2019-06-04 00:00:00,0.125,0.112,0.1255,0.11,0.0,0.0,57193100,26514981.0,-10.399999999999999,0.125
22,SH.512690,酒ETF,2019-06-05 00:00:00,0.116,0.113,0.1185,0.111,0.0,0.0,28301956,13135558.0,0.8928571428571437,0.112
23,SH.512690,酒ETF,2019-06-06 00:00:00,0.118,0.1075,0.118,0.1055,0.0,0.0,31632000,14548330.0,-4.867256637168146,0.113
24,SH.512690,酒ETF,2019-06-10 00:00:00,0.1075,0.1165,0.12,0.1005,0.0,0.0,41608600,19231338.0,8.372093023255822,0.1075
25,SH.512690,酒ETF,2019-06-11 00:00:00,0.1165,0.1405,0.144,0.1165,0.0,0.0,80509000,38998307.0,20.600858369098717,0.1165
26,SH.512690,酒ETF,2019-06-12 00:00:00,0.1375,0.1345,0.141,0.132,0.0,0.0,31746600,15391685.0,-4.270462633451961,0.1405
27,SH.512690,酒ETF,2019-06-13 00:00:00,0.1345,0.133,0.136,0.126,0.0,0.0,29099000,13983165.0,-1.1152416356877333,0.1345
28,SH.512690,酒ETF,2019-06-14 00:00:00,0.13,0.1275,0.14,0.126,0.0,0.0,31958800,15424440.0,-4.135338345864665,0.133
29,SH.512690,酒ETF,2019-06-17 00:00:00,0.126,0.125,0.1305,0.1195,0.0,0.0,28457200,13543080.0,-1.960784313725492,0.1275
30,SH.512690,酒ETF,2019-06-18 00:00:00,0.126,0.125,0.1275,0.119,0.0,0.0,20216000,9552891.0,0.0,0.125
31,SH.512690,酒ETF,2019-06-19 00:00:00,0.14,0.1315,0.1425,0.131,0.0,0.0,39815800,19347974.0,5.200000000000005,0.125
32,SH.512690,酒ETF,2019-06-20 00:00:00,0.1315,0.152,0.1545,0.13,0.0,0.0,71901000,35770589.0,15.589353612167292,0.1315
33,SH.512690,酒ETF,2019-06-21 00:00:00,0.1515,0.1565,0.1595,0.1475,0.0,0.0,49402200,24827243.0,2.960526315789476,0.152
34,SH.512690,酒ETF,2019-06-24 00:00:00,0.155,0.164,0.1715,0.152,0.0,0.0,77170600,39672437.0,4.792332268370611,0.1565
35,SH.512690,酒ETF,2019-06-25 00:00:00,0.1605,0.1635,0.1675,0.152,0.0,0.0,48664420,24835162.0,-0.3048780487804881,0.164
36,SH.512690,酒ETF,2019-06-26 00:00:00,0.158,0.1635,0.165,0.1575,0.0,0.0,31785600,16266214.0,0.0,0.1635
37,SH.512690,酒ETF,2019-06-27 00:00:00,0.1625,0.1815,0.1865,0.1625,0.0,0.0,100624200,53149502.0,11.009174311926598,0.1635
38,SH.512690,酒ETF,2019-06-28 00:00:00,0.179,0.1815,0.1865,0.1745,0.0,0.0,56773340,30101721.0,0.0,0.1815
39,SH.512690,酒ETF,2019-07-01 00:00:00,0.195,0.209,0.2095,0.1905,0.0,0.0,52286046,28888491.0,15.151515151515149,0.1815
40,SH.512690,酒ETF,2019-07-02 00:00:00,0.2035,0.209,0.213,0.2005,0.0,0.0,46548400,25891212.0,0.0,0.209
41,SH.512690,酒ETF,2019-07-03 00:00:00,0.207,0.198,0.219,0.1905,0.0,0.0,65648000,36403290.0,-5.263157894736834,0.209
42,SH.512690,酒ETF,2019-07-04 00:00:00,0.1915,0.1895,0.199,0.1815,0.0,0.0,44509320,23940939.0,-4.292929292929296,0.198
43,SH.512690,酒ETF,2019-07-05 00:00:00,0.1885,0.203,0.2065,0.188,0.0,0.0,49279600,26948915.0,7.124010554089716,0.1895
44,SH.512690,酒ETF,2019-07-08 00:00:00,0.2,0.192,0.2005,0.1835,0.0,0.0,49796200,27035355.0,-5.418719211822665,0.203
45,SH.512690,酒ETF,2019-07-09 00:00:00,0.19,0.196,0.207,0.19,0.0,0.0,43014400,23558330.0,2.0833333333333353,0.192
46,SH.512690,酒ETF,2019-07-10 00:00:00,0.196,0.198,0.2025,0.1945,0.0,0.0,26174000,14356826.0,1.0204081632653068,0.196
47,SH.512690,酒ETF,2019-07-11 00:00:00,0.1995,0.192,0.204,0.19,0.0,0.0,42425056,23158565.0,-3.030303030303033,0.198
48,SH.512690,酒ETF,2019-07-12 00:00:00,0.19,0.1985,0.201,0.1895,0.0,0.0,37498400,20510030.0,3.38541666666667,0.192
49,SH.512690,酒ETF,2019-07-15 00:00:00,0.195,0.1945,0.196,0.18,0.0,0.0,40099200,21590676.0,-2.0151133501259464,0.1985
50,SH.512690,酒ETF,2019-07-16 00:00:00,0.1935,0.188,0.1965,0.186,0.0,0.0,35234000,18988524.0,-3.341902313624682,0.1945
51,SH.512690,酒ETF,2019-07-17 00:00:00,0.1865,0.1865,0.191,0.1825,0.0,0.0,26005800,13948064.0,-0.7978723404255326,0.188
52,SH.512690,酒ETF,2019-07-18 00:00:00,0.182,0.1775,0.1865,0.177,0.0,0.0,36821832,19590668.0,-4.825737265415555,0.1865
53,SH.512690,酒ETF,2019-07-19 00:00:00,0.1795,0.1825,0.1865,0.1775,0.0,0.0,25472800,13581463.0,2.8169014084507067,0.1775
