,code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,SH.512880,证券ETF,2016-08-08 00:00:00,0.995,1.004,1.006,0.988,0.0,0.0,153492108,153164738.65,0.9045226130653274,0.995
1,SH.512880,证券ETF,2016-08-09 00:00:00,1.002,1.012,1.016,1.002,0.0,0.0,45656067,46082946.686,0.7968127490039847,1.004
2,SH.512880,证券ETF,2016-08-10 00:00:00,1.013,1.01,1.021,1.008,0.0,0.0,29543368,29975005.844,-0.19762845849802388,1.012
3,SH.512880,证券ETF,2016-08-11 00:00:00,1.01,1.014,1.029,1.009,0.0,0.0,37019624,37790066.154,0.3960396039603964,1.01
4,SH.512880,证券ETF,2016-08-12 00:00:00,1.013,1.037,1.041,1.009,0.0,0.0,36498955,37355019.867,2.268244575936875,1.014
5,SH.512880,证券ETF,2016-08-15 00:00:00,1.044,1.097,1.132,1.04,0.0,0.0,108427801,117707931.468,5.785920925747353,1.037
6,SH.512880,证券ETF,2016-08-16 00:00:00,1.1,1.086,1.102,1.084,0.0,0.0,62083760,67776091.704,-1.0027347310847674,1.097
7,SH.512880,证券ETF,2016-08-17 00:00:00,1.095,1.08,1.106,1.072,0.0,0.0,40260190,43826593.146,-0.5524861878453042,1.086
8,SH.512880,证券ETF,2016-08-18 00:00:00,1.071,1.068,1.085,1.062,0.0,0.0,45597235,48873984.07,-1.111111111111112,1.08
9,SH.512880,证券ETF,2016-08-19 00:00:00,1.068,1.068,1.073,1.06,0.0,0.0,36301312,38746370.317,0.0,1.068
10,SH.512880,证券ETF,2016-08-22 00:00:00,1.071,1.045,1.071,1.044,0.0,0.0,34605840,36569455.82,-2.153558052434469,1.068
11,SH.512880,证券ETF,2016-08-23 00:00:00,1.048,1.056,1.062,1.044,0.0,0.0,24477575,25778161.355,1.0526315789473801,1.045
12,SH.512880,证券ETF,2016-08-24 00:00:00,1.058,1.049,1.06,1.045,0.0,0.0,19764000,20780325.9,-0.662878787878799,1.056
13,SH.512880,证券ETF,2016-08-25 00:00:00,1.045,1.054,1.058,1.038,0.0,0.0,24633332,25890451.873,0.4766444232602589,1.049
14,SH.512880,证券ETF,2016-08-26 00:00:00,1.051,1.048,1.057,1.046,0.0,0.0,17801757,18724561.152,-0.5692599620493364,1.054
15,SH.512880,证券ETF,2016-08-29 00:00:00,1.048,1.049,1.053,1.042,0.0,0.0,12260053,12835434.404,0.09541984732823376,1.048
16,SH.512880,证券ETF,2016-08-30 00:00:00,1.05,1.054,1.062,1.047,0.0,0.0,23384259,24691965.886,0.4766444232602589,1.049
17,SH.512880,证券ETF,2016-08-31 00:00:00,1.051,1.061,1.067,1.05,0.0,0.0,27296587,28945103.989,0.6641366223908819,1.054
18,SH.512880,证券ETF,2016-09-01 00:00:00,1.06,1.044,1.06,1.044,0.0,0.0,25067000,26393289.4,-1.6022620169651183,1.061
19,SH.512880,证券ETF,2016-09-02 00:00:00,1.041,1.051,1.063,1.039,0.0,0.0,23398195,24635967.295,0.6704980842911777,1.044
20,SH.512880,证券ETF,2016-09-05 00:00:00,1.05,1.054,1.067,1.05,0.0,0.0,38431002,40671240.802,0.2854424357754628,1.051
21,SH.512880,证券ETF,2016-09-06 00:00:00,1.053,1.057,1.06,1.04,0.0,0.0,25749077,27041171.23,0.28462998102465764,1.054
22,SH.512880,证券ETF,2016-09-07 00:00:00,1.057,1.056,1.064,1.053,0.0,0.0,21027732,22267356.42,-0.09460737937558088,1.057
23,SH.512880,证券ETF,2016-09-08 00:00:00,1.055,1.054,1.057,1.05,0.0,0.0,14973145,15783935.692,-0.18939393939393956,1.056
24,SH.512880,证券ETF,2016-09-09 00:00:00,1.053,1.049,1.059,1.048,0.0,0.0,28409100,29982671.6,-0.4743833017077908,1.054
25,SH.512880,证券ETF,2016-09-12 00:00:00,1.04,1.023,1.04,1.011,0.0,0.0,42578338,43491162.808,-2.478551000953291,1.049
26,SH.512880,证券ETF,2016-09-13 00:00:00,1.021,1.02,1.026,1.015,0.0,0.0,14943200,15221764.5,-0.2932551319647988,1.023
27,SH.512880,证券ETF,2016-09-14 00:00:00,1.015,1.012,1.018,1.009,0.0,0.0,13102200,13274347.9,-0.7843137254901967,1.02
28,SH.512880,证券ETF,2016-09-19 00:00:00,1.012,1.015,1.018,1.012,0.0,0.0,10762100,10918142.3,0.29644268774702487,1.012
29,SH.512880,证券ETF,2016-09-20 00:00:00,1.015,1.013,1.016,1.01,0.0,0.0,23259931,23539946.372,-0.19704433497536966,1.015
30,SH.512880,证券ETF,2016-09-21 00:00:00,1.012,1.02,1.027,1.012,0.0,0.0,38803144,39474499.692,0.6910167818361419,1.013
31,SH.512880,证券ETF,2016-09-22 00:00:00,1.026,1.02,1.029,1.02,0.0,0.0,15386044,15754392.756,0.0,1.02
32,SH.512880,证券ETF,2016-09-23 00:00:00,1.02,1.016,1.023,1.015,0.0,0.0,14765020,15052047.16,-0.39215686274509837,1.02
33,SH.512880,证券ETF,2016-09-26 00:00:00,1.016,0.998,1.016,0.996,0.0,0.0,20983120,21080177.02,-1.7716535433070884,1.016
34,SH.512880,证券ETF,2016-09-27 00:00:00,0.997,1.008,1.008,0.996,0.0,0.0,19371420,19416929.48,1.0020040080160328,0.998
35,SH.512880,证券ETF,2016-09-28 00:00:00,1.006,1.002,1.008,1.002,0.0,0.0,6918844,6950765.72,-0.5952380952380957,1.008
36,SH.512880,证券ETF,2016-09-29 00:00:00,1.004,1.016,1.025,1.004,0.0,0.0,15085047,15329278.703,1.3972055888223565,1.002
37,SH.512880,证券ETF,2016-09-30 00:00:00,1.014,1.017,1.018,1.012,0.0,0.0,12053971,12237644.451,0.09842519685038285,1.016
38,SH.512880,证券ETF,2016-10-10 00:00:00,1.02,1.03,1.032,1.019,0.0,0.0,21597353,22168750.684,1.2782694198623525,1.017
39,SH.512880,证券ETF,2016-10-11 00:00:00,1.029,1.032,1.035,1.027,0.0,0.0,14053201,14472926.239,0.19417475728155356,1.03
40,SH.512880,证券ETF,2016-10-12 00:00:00,1.03,1.029,1.034,1.025,0.0,0.0,15680624,16159166.996,-0.29069767441861566,1.032
41,SH.512880,证券ETF,2016-10-13 00:00:00,1.027,1.03,1.034,1.026,0.0,0.0,13465500,13866866.1,0.09718172983480194,1.029
42,SH.512880,证券ETF,2016-10-14 00:00:00,1.03,1.03,1.032,1.021,0.0,0.0,15834500,16238532.8,0.0,1.03
43,SH.512880,证券ETF,2016-10-17 00:00:00,1.03,1.013,1.032,1.013,0.0,0.0,14166035,14497418.645,-1.6504854368932163,1.03
44,SH.512880,证券ETF,2016-10-18 00:00:00,1.013,1.036,1.042,1.013,0.0,0.0,27449354,28215857.544,2.2704837117472985,1.013
45,SH.512880,证券ETF,2016-10-19 00:00:00,1.037,1.032,1.039,1.03,0.0,0.0,14633300,15135889.028,-0.38610038610038644,1.036
46,SH.512880,证券ETF,2016-10-20 00:00:00,1.032,1.031,1.035,1.028,0.0,0.0,14964161,15430752.052,-0.0968992248062124,1.032
47,SH.512880,证券ETF,2016-10-21 00:00:00,1.029,1.035,1.047,1.028,0.0,0.0,21480556,22264784.126,0.38797284190106734,1.031
48,SH.512880,证券ETF,2016-10-24 00:00:00,1.035,1.061,1.078,1.035,0.0,0.0,47401085,50354093.885,2.5120772946859926,1.035
