,code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,SH.513050,中概互联网ETF,2017-01-18 00:00:00,0.989,0.977,0.989,0.969,0.0,0.0,34560460,33817947.1,-1.2133468149646118,0.989
1,SH.513050,中概互联网ETF,2017-01-19 00:00:00,0.978,0.989,0.99,0.978,0.0,0.0,25771600,25425534.0,1.2282497441146378,0.977
2,SH.513050,中概互联网ETF,2017-01-20 00:00:00,0.989,0.988,0.99,0.986,0.0,0.0,5098000,5043289.1,-0.10111223458038432,0.989
3,SH.513050,中概互联网ETF,2017-01-23 00:00:00,0.988,0.988,0.989,0.986,0.0,0.0,1373900,1356129.1,0.0,0.988
4,SH.513050,中概互联网ETF,2017-01-24 00:00:00,0.989,0.989,0.992,0.987,0.0,0.0,1793700,1774398.0,0.10121457489878552,0.988
5,SH.513050,中概互联网ETF,2017-01-25 00:00:00,0.99,1.001,1.004,0.99,0.0,0.0,8407800,8403311.1,1.2133468149646005,0.989
6,SH.513050,中概互联网ETF,2017-01-26 00:00:00,1.01,1.01,1.01,1.005,0.0,0.0,5306400,5349893.4,0.8991008991009112,1.001
7,SH.513050,中概互联网ETF,2017-02-03 00:00:00,1.003,1.007,1.008,1.0,0.0,0.0,3916200,3930904.0,-0.2970297029703083,1.01
8,SH.513050,中概互联网ETF,2017-02-06 00:00:00,1.009,1.009,1.01,1.006,0.0,0.0,2608100,2629748.1,0.19860973187686218,1.007
9,SH.513050,中概互联网ETF,2017-02-07 00:00:00,1.01,1.018,1.023,1.01,0.0,0.0,2563700,2607407.0,0.8919722497522419,1.009
10,SH.513050,中概互联网ETF,2017-02-08 00:00:00,1.02,1.019,1.023,1.017,0.0,0.0,985500,1004273.1,0.09823182711197345,1.018
11,SH.513050,中概互联网ETF,2017-02-09 00:00:00,1.025,1.03,1.033,1.025,0.0,0.0,8122120,8371964.68,1.0794896957801887,1.019
12,SH.513050,中概互联网ETF,2017-02-10 00:00:00,1.034,1.035,1.037,1.032,0.0,0.0,9194460,9511312.08,0.4854368932038731,1.03
13,SH.513050,中概互联网ETF,2017-02-13 00:00:00,1.041,1.042,1.043,1.036,0.0,0.0,1678800,1746399.9,0.6763285024154704,1.035
14,SH.513050,中概互联网ETF,2017-02-14 00:00:00,1.044,1.049,1.049,1.043,0.0,0.0,4350000,4551443.0,0.6717850287907768,1.042
15,SH.513050,中概互联网ETF,2017-02-15 00:00:00,1.052,1.058,1.066,1.049,0.0,0.0,3656400,3860854.8,0.8579599618684576,1.049
16,SH.513050,中概互联网ETF,2017-02-16 00:00:00,1.061,1.06,1.066,1.058,0.0,0.0,5184400,5502260.3,0.18903591682419676,1.058
17,SH.513050,中概互联网ETF,2017-02-17 00:00:00,1.061,1.065,1.069,1.061,0.0,0.0,6331200,6745465.4,0.4716981132075371,1.06
18,SH.513050,中概互联网ETF,2017-02-20 00:00:00,1.068,1.092,1.095,1.068,0.0,0.0,6273620,6784230.82,2.535211267605647,1.065
19,SH.513050,中概互联网ETF,2017-02-21 00:00:00,1.102,1.077,1.102,1.074,0.0,0.0,4508300,4903604.1,-1.373626373626385,1.092
20,SH.513050,中概互联网ETF,2017-02-22 00:00:00,1.08,1.087,1.092,1.079,0.0,0.0,7511300,8150976.8,0.9285051067780881,1.077
21,SH.513050,中概互联网ETF,2017-02-23 00:00:00,1.092,1.088,1.094,1.087,0.0,0.0,3780100,4121671.3,0.09199632014720441,1.087
22,SH.513050,中概互联网ETF,2017-02-24 00:00:00,1.087,1.075,1.087,1.071,0.0,0.0,3341700,3590746.3,-1.1948529411764819,1.088
23,SH.513050,中概互联网ETF,2017-02-27 00:00:00,1.071,1.06,1.071,1.057,0.0,0.0,3183860,3377918.9,-1.3953488372092933,1.075
24,SH.513050,中概互联网ETF,2017-02-28 00:00:00,1.067,1.061,1.067,1.061,0.0,0.0,1467100,1559117.0,0.09433962264149903,1.06
25,SH.513050,中概互联网ETF,2017-03-01 00:00:00,1.062,1.064,1.066,1.061,0.0,0.0,1589701,1689928.861,0.28275212064091554,1.061
26,SH.513050,中概互联网ETF,2017-03-02 00:00:00,1.077,1.077,1.081,1.071,0.0,0.0,1369820,1473432.86,1.2218045112781861,1.064
27,SH.513050,中概互联网ETF,2017-03-03 00:00:00,1.073,1.064,1.073,1.062,0.0,0.0,2190100,2330404.1,-1.2070566388115043,1.077
28,SH.513050,中概互联网ETF,2017-03-06 00:00:00,1.064,1.065,1.075,1.063,0.0,0.0,749100,797674.5,0.09398496240600468,1.064
29,SH.513050,中概互联网ETF,2017-03-07 00:00:00,1.065,1.061,1.065,1.056,0.0,0.0,1110060,1174929.72,-0.3755868544600942,1.065
30,SH.513050,中概互联网ETF,2017-03-08 00:00:00,1.062,1.062,1.065,1.061,0.0,0.0,1826400,1940273.1,0.09425070688031216,1.061
31,SH.513050,中概互联网ETF,2017-03-09 00:00:00,1.071,1.071,1.072,1.069,0.0,0.0,1965860,2104309.2,0.8474576271186344,1.062
32,SH.513050,中概互联网ETF,2017-03-10 00:00:00,1.07,1.071,1.071,1.065,0.0,0.0,562000,600878.0,0.0,1.071
33,SH.513050,中概互联网ETF,2017-03-13 00:00:00,1.071,1.071,1.072,1.069,0.0,0.0,1750400,1873623.2,0.0,1.071
34,SH.513050,中概互联网ETF,2017-03-14 00:00:00,1.083,1.083,1.086,1.08,0.0,0.0,2169200,2348264.4,1.1204481792717098,1.071
35,SH.513050,中概互联网ETF,2017-03-15 00:00:00,1.083,1.08,1.083,1.078,0.0,0.0,546800,590470.7,-0.27700831024929745,1.083
36,SH.513050,中概互联网ETF,2017-03-16 00:00:00,1.079,1.087,1.088,1.079,0.0,0.0,1282700,1391156.0,0.6481481481481384,1.08
37,SH.513050,中概互联网ETF,2017-03-17 00:00:00,1.095,1.096,1.1,1.09,0.0,0.0,1608200,1764224.3,0.8279668813247579,1.087
38,SH.513050,中概互联网ETF,2017-03-20 00:00:00,1.096,1.111,1.114,1.096,0.0,0.0,1538600,1704834.2,1.3686131386861224,1.096
39,SH.513050,中概互联网ETF,2017-03-21 00:00:00,1.113,1.12,1.121,1.113,0.0,0.0,1888000,2113540.4,0.8100810081008208,1.111
40,SH.513050,中概互联网ETF,2017-03-22 00:00:00,1.091,1.093,1.1,1.09,0.0,0.0,2812700,3075287.8,-2.4107142857142976,1.12
41,SH.513050,中概互联网ETF,2017-03-23 00:00:00,1.094,1.085,1.098,1.084,0.0,0.0,1426200,1552772.7,-0.7319304666056731,1.093
42,SH.513050,中概互联网ETF,2017-03-24 00:00:00,1.087,1.092,1.093,1.087,0.0,0.0,1002300,1093403.6,0.6451612903225915,1.085
43,SH.513050,中概互联网ETF,2017-03-27 00:00:00,1.092,1.085,1.092,1.084,0.0,0.0,1205100,1311907.4,-0.6410256410256516,1.092
44,SH.513050,中概互联网ETF,2017-03-28 00:00:00,1.088,1.098,1.099,1.087,0.0,0.0,768700,838771.5,1.1981566820276612,1.085
45,SH.513050,中概互联网ETF,2017-03-29 00:00:00,1.098,1.102,1.114,1.089,0.0,0.0,871100,959079.6,0.36429872495446297,1.098
46,SH.513050,中概互联网ETF,2017-03-30 00:00:00,1.104,1.099,1.108,1.098,0.0,0.0,924900,1018721.3,-0.2722323049001918,1.102
47,SH.513050,中概互联网ETF,2017-03-31 00:00:00,1.099,1.107,1.111,1.087,0.0,0.0,1249800,1375604.4,0.72793448589627,1.099
48,SH.513050,中概互联网ETF,2017-04-05 00:00:00,1.109,1.111,1.115,1.109,0.0,0.0,789900,878028.9,0.3613369467028007,1.107
49,SH.513050,中概互联网ETF,2017-04-06 00:00:00,1.112,1.102,1.115,1.098,0.0,0.0,1298300,1434380.5,-0.8100810081008007,1.111
50,SH.513050,中概互联网ETF,2017-04-07 00:00:00,1.102,1.103,1.107,1.097,0.0,0.0,1400600,1542120.6,0.09074410163338383,1.102
51,SH.513050,中概互联网ETF,2017-04-10 00:00:00,1.103,1.109,1.113,1.103,0.0,0.0,675000,748916.9,0.5439709882139624,1.103
52,SH.513050,中概互联网ETF,2017-04-11 00:00:00,1.111,1.113,1.118,1.111,0.0,0.0,894500,995337.1,0.36068530207394084,1.109
53,SH.513050,中概互联网ETF,2017-04-12 00:00:00,1.113,1.11,1.113,1.108,0.0,0.0,793200,880497.1,-0.2695417789757315,1.113
54,SH.513050,中概互联网ETF,2017-04-13 00:00:00,1.11,1.111,1.114,1.109,0.0,0.0,383900,426262.2,0.09009009009008016,1.11
55,SH.513050,中概互联网ETF,2017-04-14 00:00:00,1.111,1.107,1.111,1.103,0.0,0.0,335700,371385.3,-0.36003600360036037,1.111
56,SH.513050,中概互联网ETF,2017-04-17 00:00:00,1.1,1.106,1.115,1.1,0.0,0.0,377400,417110.5,-0.09033423667569014,1.107
57,SH.513050,中概互联网ETF,2017-04-18 00:00:00,1.112,1.109,1.112,1.106,0.0,0.0,212500,235642.4,0.2712477396021602,1.106
58,SH.513050,中概互联网ETF,2017-04-19 00:00:00,1.109,1.105,1.109,1.104,0.0,0.0,398500,440278.6,-0.36068530207394084,1.109
59,SH.513050,中概互联网ETF,2017-04-20 00:00:00,1.105,1.111,1.112,1.105,0.0,0.0,430500,477373.8,0.542986425339367,1.105
60,SH.513050,中概互联网ETF,2017-04-21 00:00:00,1.118,1.125,1.125,1.117,0.0,0.0,1209900,1357682.4,1.2601260126012612,1.111
61,SH.513050,中概互联网ETF,2017-04-24 00:00:00,1.127,1.141,1.144,1.127,0.0,0.0,1673400,1899005.0,1.4222222222222236,1.125
62,SH.513050,中概互联网ETF,2017-04-25 00:00:00,1.16,1.158,1.16,1.146,0.0,0.0,1057000,1218295.7,1.489921121822954,1.141
63,SH.513050,中概互联网ETF,2017-04-26 00:00:00,1.166,1.186,1.193,1.165,0.0,0.0,2378300,2808554.5,2.4179620034542335,1.158
64,SH.513050,中概互联网ETF,2017-04-27 00:00:00,1.172,1.175,1.185,1.161,0.0,0.0,3030100,3530208.8,-0.9274873524451854,1.186
65,SH.513050,中概互联网ETF,2017-04-28 00:00:00,1.18,1.181,1.19,1.175,0.0,0.0,1065000,1258057.6,0.5106382978723408,1.175
66,SH.513050,中概互联网ETF,2017-05-02 00:00:00,1.181,1.187,1.197,1.18,0.0,0.0,2484300,2951115.6,0.5080440304826422,1.181
67,SH.513050,中概互联网ETF,2017-05-03 00:00:00,1.19,1.187,1.192,1.184,0.0,0.0,1271500,1510012.7,0.0,1.187
68,SH.513050,中概互联网ETF,2017-05-04 00:00:00,1.187,1.181,1.189,1.171,0.0,0.0,2421300,2862022.7,-0.5054759898904806,1.187
69,SH.513050,中概互联网ETF,2017-05-05 00:00:00,1.181,1.167,1.181,1.164,0.0,0.0,3377600,3949099.5,-1.1854360711261653,1.181
70,SH.513050,中概互联网ETF,2017-05-08 00:00:00,1.179,1.19,1.194,1.176,0.0,0.0,3405000,4047863.2,1.9708654670094181,1.167
71,SH.513050,中概互联网ETF,2017-05-09 00:00:00,1.196,1.227,1.232,1.193,0.0,0.0,7477100,9065836.9,3.1092436974790036,1.19
72,SH.513050,中概互联网ETF,2017-05-10 00:00:00,1.224,1.231,1.255,1.22,0.0,0.0,9825800,12130650.7,0.3259983700081502,1.227
73,SH.513050,中概互联网ETF,2017-05-11 00:00:00,1.239,1.233,1.24,1.228,0.0,0.0,6166100,7610903.0,0.1624695369618198,1.231
74,SH.513050,中概互联网ETF,2017-05-12 00:00:00,1.233,1.234,1.235,1.227,0.0,0.0,5520800,6799505.0,0.08110300081102106,1.233
75,SH.513050,中概互联网ETF,2017-05-15 00:00:00,1.241,1.269,1.283,1.239,0.0,0.0,8341400,10416016.8,2.836304700162068,1.234
76,SH.513050,中概互联网ETF,2017-05-16 00:00:00,1.253,1.248,1.256,1.246,0.0,0.0,11141600,13932951.1,-1.6548463356973921,1.269
77,SH.513050,中概互联网ETF,2017-05-17 00:00:00,1.264,1.273,1.279,1.261,0.0,0.0,14541100,18437140.3,2.003205128205121,1.248
78,SH.513050,中概互联网ETF,2017-05-18 00:00:00,1.242,1.256,1.265,1.24,0.0,0.0,19642700,24568046.5,-1.3354281225451614,1.273
79,SH.513050,中概互联网ETF,2017-05-19 00:00:00,1.26,1.249,1.26,1.247,0.0,0.0,17152900,21459048.3,-0.5573248407643229,1.256
80,SH.513050,中概互联网ETF,2017-05-22 00:00:00,1.263,1.3,1.307,1.263,0.0,0.0,18714598,24058127.111,4.083266613290626,1.249
81,SH.513050,中概互联网ETF,2017-05-23 00:00:00,1.319,1.338,1.41,1.319,0.0,0.0,23989200,32466867.7,2.9230769230769256,1.3
82,SH.513050,中概互联网ETF,2017-05-24 00:00:00,1.318,1.293,1.32,1.292,0.0,0.0,22384200,29181736.24,-3.3632286995515805,1.338
83,SH.513050,中概互联网ETF,2017-05-25 00:00:00,1.279,1.288,1.289,1.268,0.0,0.0,24338700,31131626.0,-0.3866976024748564,1.293
84,SH.513050,中概互联网ETF,2017-05-26 00:00:00,1.289,1.271,1.29,1.269,0.0,0.0,22382700,28620164.3,-1.3198757763975253,1.288
85,SH.513050,中概互联网ETF,2017-05-31 00:00:00,1.262,1.246,1.262,1.236,0.0,0.0,20767900,25922853.1,-1.9669551534224954,1.271
86,SH.513050,中概互联网ETF,2017-06-01 00:00:00,1.234,1.254,1.255,1.215,0.0,0.0,15539500,19124108.8,0.6420545746388449,1.246
87,SH.513050,中概互联网ETF,2017-06-02 00:00:00,1.272,1.252,1.276,1.247,0.0,0.0,15069200,19003393.1,-0.15948963317384382,1.254
88,SH.513050,中概互联网ETF,2017-06-05 00:00:00,1.251,1.248,1.257,1.246,0.0,0.0,7100599,8873979.65,-0.31948881789137407,1.252
89,SH.513050,中概互联网ETF,2017-06-06 00:00:00,1.253,1.266,1.269,1.253,0.0,0.0,9916797,12505597.227,1.4423076923076936,1.248
90,SH.513050,中概互联网ETF,2017-06-07 00:00:00,1.257,1.253,1.263,1.247,0.0,0.0,14189400,17783822.2,-1.026856240126392,1.266
91,SH.513050,中概互联网ETF,2017-06-08 00:00:00,1.266,1.275,1.276,1.261,0.0,0.0,13492599,17134381.934,1.7557861133280146,1.253
92,SH.513050,中概互联网ETF,2017-06-09 00:00:00,1.305,1.319,1.333,1.305,0.0,0.0,20529300,27090350.3,3.450980392156866,1.275
93,SH.513050,中概互联网ETF,2017-06-12 00:00:00,1.279,1.281,1.284,1.271,0.0,0.0,22127400,28303159.7,-2.880970432145568,1.319
94,SH.513050,中概互联网ETF,2017-06-13 00:00:00,1.276,1.274,1.279,1.27,0.0,0.0,14812800,18875735.2,-0.5464480874316858,1.281
95,SH.513050,中概互联网ETF,2017-06-14 00:00:00,1.268,1.261,1.268,1.26,0.0,0.0,11182200,14117754.1,-1.0204081632653157,1.274
96,SH.513050,中概互联网ETF,2017-06-15 00:00:00,1.253,1.24,1.253,1.233,0.0,0.0,15036900,18692946.7,-1.6653449643140292,1.261
97,SH.513050,中概互联网ETF,2017-06-16 00:00:00,1.225,1.238,1.239,1.225,0.0,0.0,8656360,10678324.98,-0.16129032258064532,1.24
98,SH.513050,中概互联网ETF,2017-06-19 00:00:00,1.238,1.247,1.248,1.236,0.0,0.0,7533260,9374504.24,0.7269789983845008,1.238
99,SH.513050,中概互联网ETF,2017-06-20 00:00:00,1.278,1.274,1.284,1.271,0.0,0.0,13624760,17395290.94,2.1651964715316687,1.247
100,SH.513050,中概互联网ETF,2017-06-21 00:00:00,1.263,1.26,1.27,1.26,0.0,0.0,7311000,9248726.9,-1.0989010989010999,1.274
101,SH.513050,中概互联网ETF,2017-06-22 00:00:00,1.286,1.281,1.292,1.272,0.0,0.0,13046960,16754828.52,1.6666666666666594,1.26
102,SH.513050,中概互联网ETF,2017-06-23 00:00:00,1.282,1.288,1.288,1.282,0.0,0.0,6792200,8731587.9,0.5464480874317031,1.281
103,SH.513050,中概互联网ETF,2017-06-26 00:00:00,1.295,1.303,1.305,1.294,0.0,0.0,9349600,12139506.2,1.1645962732919177,1.288
104,SH.513050,中概互联网ETF,2017-06-27 00:00:00,1.302,1.309,1.313,1.296,0.0,0.0,10498800,13718946.9,0.46047582501918694,1.303
105,SH.513050,中概互联网ETF,2017-06-28 00:00:00,1.288,1.296,1.309,1.281,0.0,0.0,28917260,37401313.54,-0.9931245225362796,1.309
106,SH.513050,中概互联网ETF,2017-06-29 00:00:00,1.305,1.302,1.305,1.296,0.0,0.0,19496000,25363803.5,0.46296296296296335,1.296
107,SH.513050,中概互联网ETF,2017-06-30 00:00:00,1.276,1.284,1.284,1.276,0.0,0.0,18016800,23070658.4,-1.382488479262674,1.302
108,SH.513050,中概互联网ETF,2017-07-03 00:00:00,1.269,1.27,1.272,1.261,0.0,0.0,18027400,22789177.5,-1.0903426791277269,1.284
109,SH.513050,中概互联网ETF,2017-07-04 00:00:00,1.263,1.248,1.27,1.242,0.0,0.0,20044599,25099933.956,-1.7322834645669305,1.27
110,SH.513050,中概互联网ETF,2017-07-05 00:00:00,1.244,1.261,1.267,1.239,0.0,0.0,10401900,13054975.5,1.0416666666666585,1.248
111,SH.513050,中概互联网ETF,2017-07-06 00:00:00,1.275,1.271,1.275,1.266,0.0,0.0,13088033,16616877.879,0.7930214115781135,1.261
112,SH.513050,中概互联网ETF,2017-07-07 00:00:00,1.262,1.266,1.269,1.256,0.0,0.0,9874367,12501449.958,-0.39339103068449205,1.271
113,SH.513050,中概互联网ETF,2017-07-10 00:00:00,1.265,1.261,1.266,1.258,0.0,0.0,10368700,13082551.4,-0.3949447077409253,1.266
114,SH.513050,中概互联网ETF,2017-07-11 00:00:00,1.268,1.287,1.287,1.268,0.0,0.0,9704400,12428558.5,2.061855670103095,1.261
115,SH.513050,中概互联网ETF,2017-07-12 00:00:00,1.295,1.294,1.301,1.29,0.0,0.0,11051600,14328326.2,0.543900543900553,1.287
116,SH.513050,中概互联网ETF,2017-07-13 00:00:00,1.31,1.322,1.322,1.31,0.0,0.0,15138000,19964134.9,2.1638330757341597,1.294
117,SH.513050,中概互联网ETF,2017-07-14 00:00:00,1.321,1.316,1.321,1.314,0.0,0.0,12165801,16029106.318,-0.4538577912254164,1.322
118,SH.513050,中概互联网ETF,2017-07-17 00:00:00,1.331,1.33,1.34,1.327,0.0,0.0,12380800,16527077.2,1.0638297872340434,1.316
119,SH.513050,中概互联网ETF,2017-07-18 00:00:00,1.328,1.322,1.328,1.321,0.0,0.0,11724400,15514695.1,-0.6015037593984968,1.33
120,SH.513050,中概互联网ETF,2017-07-19 00:00:00,1.341,1.363,1.368,1.34,0.0,0.0,12721000,17216889.8,3.1013615733736706,1.322
121,SH.513050,中概互联网ETF,2017-07-20 00:00:00,1.363,1.347,1.363,1.346,0.0,0.0,15527700,20976932.9,-1.173881144534117,1.363
122,SH.513050,中概互联网ETF,2017-07-21 00:00:00,1.346,1.356,1.357,1.342,0.0,0.0,10505500,14190538.6,0.6681514476614788,1.347
123,SH.513050,中概互联网ETF,2017-07-24 00:00:00,1.35,1.36,1.361,1.346,0.0,0.0,7335100,9961395.9,0.2949852507374634,1.356
124,SH.513050,中概互联网ETF,2017-07-25 00:00:00,1.372,1.372,1.376,1.368,0.0,0.0,9203000,12636138.7,0.8823529411764712,1.36
125,SH.513050,中概互联网ETF,2017-07-26 00:00:00,1.372,1.371,1.373,1.369,0.0,0.0,8898700,12201926.3,-0.07288629737610144,1.372
126,SH.513050,中概互联网ETF,2017-07-27 00:00:00,1.395,1.41,1.41,1.395,0.0,0.0,13310900,18630742.5,2.844638949671767,1.371
127,SH.513050,中概互联网ETF,2017-07-28 00:00:00,1.393,1.405,1.41,1.385,0.0,0.0,16419500,22924806.8,-0.35460992907800665,1.41
128,SH.513050,中概互联网ETF,2017-07-31 00:00:00,1.426,1.455,1.457,1.421,0.0,0.0,33691300,48671994.4,3.5587188612099676,1.405
129,SH.513050,中概互联网ETF,2017-08-01 00:00:00,1.434,1.46,1.465,1.432,0.0,0.0,39084700,56588223.6,0.34364261168384147,1.455
130,SH.513050,中概互联网ETF,2017-08-02 00:00:00,1.446,1.448,1.453,1.438,0.0,0.0,30800800,44536970.3,-0.8219178082191789,1.46
131,SH.513050,中概互联网ETF,2017-08-03 00:00:00,1.41,1.407,1.419,1.406,0.0,0.0,39607400,55908421.8,-2.831491712707177,1.448
132,SH.513050,中概互联网ETF,2017-08-04 00:00:00,1.415,1.412,1.425,1.408,0.0,0.0,25494700,36096667.0,0.35536602700781045,1.407
133,SH.513050,中概互联网ETF,2017-08-07 00:00:00,1.425,1.431,1.435,1.42,0.0,0.0,19836100,28341676.3,1.3456090651558166,1.412
134,SH.513050,中概互联网ETF,2017-08-08 00:00:00,1.458,1.459,1.465,1.456,0.0,0.0,21352500,31192289.6,1.9566736547868642,1.431
135,SH.513050,中概互联网ETF,2017-08-09 00:00:00,1.461,1.449,1.464,1.448,0.0,0.0,24691300,35922840.8,-0.685400959561344,1.459
136,SH.513050,中概互联网ETF,2017-08-10 00:00:00,1.45,1.441,1.452,1.439,0.0,0.0,14223600,20530825.0,-0.5521048999309873,1.449
137,SH.513050,中概互联网ETF,2017-08-11 00:00:00,1.393,1.39,1.4,1.381,0.0,0.0,31338300,43648382.9,-3.539208882720344,1.441
138,SH.513050,中概互联网ETF,2017-08-14 00:00:00,1.398,1.431,1.432,1.393,0.0,0.0,19333200,27403635.9,2.949640287769795,1.39
139,SH.513050,中概互联网ETF,2017-08-15 00:00:00,1.419,1.4,1.419,1.399,0.0,0.0,29257100,41200270.5,-2.166317260656893,1.431
140,SH.513050,中概互联网ETF,2017-08-16 00:00:00,1.405,1.402,1.414,1.4,0.0,0.0,18253400,25663543.9,0.142857142857143,1.4
141,SH.513050,中概互联网ETF,2017-08-17 00:00:00,1.433,1.415,1.433,1.41,0.0,0.0,18386400,26097691.0,0.9272467902995808,1.402
