,code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,SH.513180,恒生科技指数ETF,2021-05-25 00:00:00,0.991,1.003,1.004,0.987,0.0,0.0,604253800,604353039.0,1.2108980827446922,0.991
1,SH.513180,恒生科技指数ETF,2021-05-26 00:00:00,1.005,1.004,1.009,1.001,0.0,0.0,450025400,452312285.0,0.09970089730808693,1.003
2,SH.513180,恒生科技指数ETF,2021-05-27 00:00:00,1.001,1.005,1.009,1.0,0.0,0.0,343661900,345241070.0,0.09960159362548704,1.004
3,SH.513180,恒生科技指数ETF,2021-05-28 00:00:00,1.01,0.991,1.01,0.988,0.0,0.0,317619300,317821834.0,-1.393034825870637,1.005
4,SH.513180,恒生科技指数ETF,2021-05-31 00:00:00,0.995,0.998,1.001,0.99,0.0,0.0,267986200,266740253.0,0.7063572149344103,0.991
5,SH.513180,恒生科技指数ETF,2021-06-01 00:00:00,1.009,1.03,1.033,1.003,0.0,0.0,886779700,905461570.0,3.206412825651305,0.998
6,SH.513180,恒生科技指数ETF,2021-06-02 00:00:00,1.035,1.022,1.039,1.021,0.0,0.0,298824500,306999300.0,-0.7766990291262142,1.03
7,SH.513180,恒生科技指数ETF,2021-06-03 00:00:00,1.024,1.016,1.032,1.014,0.0,0.0,247716500,254073910.0,-0.5870841487279849,1.022
8,SH.513180,恒生科技指数ETF,2021-06-04 00:00:00,1.009,1.01,1.02,1.005,0.0,0.0,328716000,332870342.0,-0.5905511811023627,1.016
9,SH.513180,恒生科技指数ETF,2021-06-07 00:00:00,1.014,1.004,1.014,0.997,0.0,0.0,212041000,212488010.0,-0.5940594059405946,1.01
10,SH.513180,恒生科技指数ETF,2021-06-08 00:00:00,1.006,0.993,1.009,0.99,0.0,0.0,274591700,273466956.0,-1.0956175298804791,1.004
11,SH.513180,恒生科技指数ETF,2021-06-09 00:00:00,0.993,0.992,0.998,0.989,0.0,0.0,137082400,136143950.0,-0.10070493454179263,0.993
12,SH.513180,恒生科技指数ETF,2021-06-10 00:00:00,0.995,0.991,1.001,0.99,0.0,0.0,278427000,276852851.0,-0.1008064516129033,0.992
13,SH.513180,恒生科技指数ETF,2021-06-11 00:00:00,0.996,0.992,1.003,0.992,0.0,0.0,185812800,185023927.0,0.10090817356205861,0.991
14,SH.513180,恒生科技指数ETF,2021-06-15 00:00:00,0.998,0.991,1.001,0.982,0.0,0.0,190879700,189219939.0,-0.1008064516129033,0.992
15,SH.513180,恒生科技指数ETF,2021-06-16 00:00:00,0.987,0.98,0.989,0.979,0.0,0.0,160818800,158002393.0,-1.1099899091826448,0.991
16,SH.513180,恒生科技指数ETF,2021-06-17 00:00:00,0.974,0.986,0.986,0.972,0.0,0.0,231047400,227082215.0,0.6122448979591842,0.98
17,SH.513180,恒生科技指数ETF,2021-06-18 00:00:00,0.994,1.004,1.012,0.994,0.0,0.0,313482400,315035875.0,1.8255578093306306,0.986
18,SH.513180,恒生科技指数ETF,2021-06-21 00:00:00,0.997,0.998,1.003,0.992,0.0,0.0,211000900,210340493.0,-0.5976095617529885,1.004
19,SH.513180,恒生科技指数ETF,2021-06-22 00:00:00,1.001,0.987,1.002,0.984,0.0,0.0,276024600,273045566.0,-1.1022044088176361,0.998
