,code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,SH.513910,港股央企红利ETF,2024-03-04 00:00:00,0.984,0.977,0.988,0.972,0.0,0.0,77211100,75689288.0,-0.7113821138211389,0.984
1,SH.513910,港股央企红利ETF,2024-03-05 00:00:00,0.971,0.973,0.986,0.971,0.0,0.0,21167000,20676302.0,-0.4094165813715459,0.977
2,SH.513910,港股央企红利ETF,2024-03-06 00:00:00,0.974,0.978,0.985,0.973,0.0,0.0,13928400,13648802.0,0.5138746145940396,0.973
3,SH.513910,港股央企红利ETF,2024-03-07 00:00:00,0.986,0.985,0.996,0.976,0.0,0.0,19504300,19275564.0,0.7157464212678942,0.978
4,SH.513910,港股央企红利ETF,2024-03-08 00:00:00,0.984,0.995,0.997,0.984,0.0,0.0,25544700,25394456.0,1.0152284263959401,0.985
5,SH.513910,港股央企红利ETF,2024-03-11 00:00:00,0.995,0.993,1.0,0.99,0.0,0.0,4989500,4956480.0,-0.20100502512562834,0.995
6,SH.513910,港股央企红利ETF,2024-03-12 00:00:00,0.994,1.0,1.0,0.985,0.0,0.0,17278200,17196803.0,0.7049345417925484,0.993
7,SH.513910,港股央企红利ETF,2024-03-13 00:00:00,0.997,0.996,1.0,0.991,0.0,0.0,7985000,7957953.0,-0.40000000000000036,1.0
8,SH.513910,港股央企红利ETF,2024-03-14 00:00:00,0.996,0.996,1.005,0.992,0.0,0.0,26872500,26900233.0,0.0,0.996
9,SH.513910,港股央企红利ETF,2024-03-15 00:00:00,0.993,0.983,0.995,0.98,0.0,0.0,5262200,5178593.0,-1.3052208835341377,0.996
10,SH.513910,港股央企红利ETF,2024-03-18 00:00:00,0.983,0.993,0.996,0.983,0.0,0.0,3062400,3036526.0,1.017293997965413,0.983
11,SH.513910,港股央企红利ETF,2024-03-19 00:00:00,0.991,0.984,0.992,0.984,0.0,0.0,2096900,2069900.0,-0.9063444108761337,0.993
12,SH.513910,港股央企红利ETF,2024-03-20 00:00:00,0.984,0.985,0.988,0.979,0.0,0.0,1396300,1375378.0,0.1016260162601627,0.984
