,code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,SH.515220,煤炭ETF,2020-03-02 00:00:00,0.355,0.373,0.374,0.355,0.0,0.0,178871396,89344150.0,5.070422535211272,0.355
1,SH.515220,煤炭ETF,2020-03-03 00:00:00,0.3945,0.377,0.3945,0.3735,0.0,0.0,167736000,85570537.0,1.0723860589812342,0.373
2,SH.515220,煤炭ETF,2020-03-04 00:00:00,0.376,0.382,0.382,0.37,0.0,0.0,127884996,64833415.0,1.3262599469496033,0.377
3,SH.515220,煤炭ETF,2020-03-05 00:00:00,0.3835,0.39,0.392,0.3835,0.0,0.0,137138800,71121231.0,2.094240837696337,0.382
4,SH.515220,煤炭ETF,2020-03-06 00:00:00,0.386,0.3825,0.386,0.3785,0.0,0.0,62416000,31976717.0,-1.9230769230769247,0.39
5,SH.515220,煤炭ETF,2020-03-09 00:00:00,0.3715,0.3635,0.375,0.363,0.0,0.0,71968600,35840056.0,-4.967320261437913,0.3825
6,SH.515220,煤炭ETF,2020-03-10 00:00:00,0.3575,0.371,0.3715,0.355,0.0,0.0,41415600,20461666.0,2.06327372764787,0.3635
7,SH.515220,煤炭ETF,2020-03-11 00:00:00,0.3725,0.3665,0.3745,0.365,0.0,0.0,42955200,21444287.0,-1.2129380053908365,0.371
8,SH.515220,煤炭ETF,2020-03-12 00:00:00,0.3595,0.358,0.3615,0.355,0.0,0.0,31748396,15506492.0,-2.3192360163710797,0.3665
9,SH.515220,煤炭ETF,2020-03-13 00:00:00,0.342,0.351,0.3545,0.338,0.0,0.0,64467600,30702461.0,-1.9553072625698342,0.358
10,SH.515220,煤炭ETF,2020-03-16 00:00:00,0.35,0.3405,0.3555,0.3395,0.0,0.0,51304400,24714628.0,-2.9914529914529786,0.351
11,SH.515220,煤炭ETF,2020-03-17 00:00:00,0.3415,0.3405,0.35,0.331,0.0,0.0,29065800,13664137.0,0.0,0.3405
12,SH.515220,煤炭ETF,2020-03-18 00:00:00,0.338,0.334,0.3455,0.334,0.0,0.0,40174000,18925326.0,-1.9089574155653468,0.3405
13,SH.515220,煤炭ETF,2020-03-19 00:00:00,0.335,0.328,0.335,0.318,0.0,0.0,40507000,18487704.0,-1.7964071856287438,0.334
14,SH.515220,煤炭ETF,2020-03-20 00:00:00,0.329,0.334,0.334,0.326,0.0,0.0,43381200,19922999.0,1.8292682926829285,0.328
15,SH.515220,煤炭ETF,2020-03-23 00:00:00,0.3295,0.322,0.3295,0.32,0.0,0.0,39352400,17834915.0,-3.5928143712574876,0.334
16,SH.515220,煤炭ETF,2020-03-24 00:00:00,0.324,0.334,0.3345,0.324,0.0,0.0,40586800,18670500.0,3.7267080745341645,0.322
17,SH.515220,煤炭ETF,2020-03-25 00:00:00,0.334,0.339,0.3425,0.334,0.0,0.0,40129800,18781315.0,1.4970059880239532,0.334
18,SH.515220,煤炭ETF,2020-03-26 00:00:00,0.3345,0.3345,0.3375,0.3335,0.0,0.0,36343800,16920935.0,-1.327433628318585,0.339
19,SH.515220,煤炭ETF,2020-03-27 00:00:00,0.3395,0.3355,0.3395,0.335,0.0,0.0,29518600,13788914.0,0.29895366218236197,0.3345
20,SH.515220,煤炭ETF,2020-03-30 00:00:00,0.3355,0.3345,0.337,0.3295,0.0,0.0,34261000,15869270.0,-0.29806259314456063,0.3355
21,SH.515220,煤炭ETF,2020-03-31 00:00:00,0.3355,0.3325,0.3375,0.332,0.0,0.0,27424600,12757556.0,-0.5979073243647239,0.3345
22,SH.515220,煤炭ETF,2020-04-01 00:00:00,0.3325,0.3295,0.3355,0.3295,0.0,0.0,40770000,18874579.0,-0.9022556390977451,0.3325
23,SH.515220,煤炭ETF,2020-04-02 00:00:00,0.3275,0.3385,0.3385,0.3275,0.0,0.0,33715800,15586448.0,2.7314112291350554,0.3295
24,SH.515220,煤炭ETF,2020-04-03 00:00:00,0.3385,0.3325,0.3385,0.332,0.0,0.0,30576000,14203474.0,-1.7725258493353042,0.3385
25,SH.515220,煤炭ETF,2020-04-07 00:00:00,0.3355,0.34,0.3405,0.3355,0.0,0.0,36455400,17102189.0,2.2556390977443628,0.3325
26,SH.515220,煤炭ETF,2020-04-08 00:00:00,0.3385,0.342,0.344,0.336,0.0,0.0,33077200,15551929.0,0.5882352941176475,0.34
27,SH.515220,煤炭ETF,2020-04-09 00:00:00,0.345,0.3405,0.345,0.3395,0.0,0.0,33296800,15728105.0,-0.4385964912280705,0.342
28,SH.515220,煤炭ETF,2020-04-10 00:00:00,0.341,0.335,0.341,0.334,0.0,0.0,49136600,22941235.0,-1.6152716593245242,0.3405
29,SH.515220,煤炭ETF,2020-04-13 00:00:00,0.335,0.333,0.335,0.3315,0.0,0.0,25128600,11626770.0,-0.5970149253731348,0.335
30,SH.515220,煤炭ETF,2020-04-14 00:00:00,0.3305,0.3395,0.3395,0.3305,0.0,0.0,34766400,16201764.0,1.9519519519519535,0.333
31,SH.515220,煤炭ETF,2020-04-15 00:00:00,0.3405,0.335,0.3405,0.3335,0.0,0.0,29374600,13674362.0,-1.325478645066275,0.3395
32,SH.515220,煤炭ETF,2020-04-16 00:00:00,0.3325,0.334,0.336,0.3325,0.0,0.0,28711400,13323839.0,-0.2985074626865674,0.335
33,SH.515220,煤炭ETF,2020-04-17 00:00:00,0.335,0.335,0.3375,0.334,0.0,0.0,34884800,16261937.0,0.29940119760479067,0.334
34,SH.515220,煤炭ETF,2020-04-20 00:00:00,0.3355,0.336,0.336,0.3335,0.0,0.0,25565800,11891067.0,0.2985074626865674,0.335
35,SH.515220,煤炭ETF,2020-04-21 00:00:00,0.3345,0.3265,0.3345,0.324,0.0,0.0,31209800,14287429.0,-2.8273809523809548,0.336
36,SH.515220,煤炭ETF,2020-04-22 00:00:00,0.322,0.329,0.3305,0.322,0.0,0.0,42944800,19568922.0,0.7656967840735075,0.3265
37,SH.515220,煤炭ETF,2020-04-23 00:00:00,0.329,0.3265,0.329,0.326,0.0,0.0,32837400,15005349.0,-0.7598784194528881,0.329
38,SH.515220,煤炭ETF,2020-04-24 00:00:00,0.3265,0.3285,0.3315,0.3265,0.0,0.0,45193600,20764556.0,0.612557427258806,0.3265
39,SH.515220,煤炭ETF,2020-04-27 00:00:00,0.3275,0.326,0.3295,0.325,0.0,0.0,45717600,20904394.0,-0.7610350076103507,0.3285
40,SH.515220,煤炭ETF,2020-04-28 00:00:00,0.325,0.318,0.325,0.3105,0.0,0.0,43458600,19374339.0,-2.453987730061352,0.326
41,SH.515220,煤炭ETF,2020-04-29 00:00:00,0.315,0.32,0.323,0.315,0.0,0.0,53396800,24060676.0,0.6289308176100634,0.318
42,SH.515220,煤炭ETF,2020-04-30 00:00:00,0.32,0.33,0.33,0.32,0.0,0.0,46291600,21156711.0,3.1250000000000027,0.32
43,SH.515220,煤炭ETF,2020-05-06 00:00:00,0.323,0.33,0.331,0.323,0.0,0.0,46385200,21192309.0,0.0,0.33
