,code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,SH.515880,通信ETF,2019-09-06 00:00:00,1.05,1.053,1.08,1.033,0.0,0.0,485995166,510408086.0,0.2857142857142754,1.05
1,SH.515880,通信ETF,2019-09-09 00:00:00,1.069,1.123,1.133,1.057,0.0,0.0,461414577,500161627.0,6.647673314339987,1.053
2,SH.515880,通信ETF,2019-09-10 00:00:00,1.133,1.088,1.135,1.078,0.0,0.0,836776635,915766606.0,-3.116651825467491,1.123
3,SH.515880,通信ETF,2019-09-11 00:00:00,1.094,1.072,1.095,1.067,0.0,0.0,422586630,455977397.0,-1.4705882352941189,1.088
4,SH.515880,通信ETF,2019-09-12 00:00:00,1.075,1.082,1.083,1.069,0.0,0.0,230615500,248350009.0,0.9328358208955232,1.072
5,SH.515880,通信ETF,2019-09-16 00:00:00,1.085,1.085,1.095,1.071,0.0,0.0,261575234,283548362.0,0.277264325323465,1.082
6,SH.515880,通信ETF,2019-09-17 00:00:00,1.08,1.056,1.08,1.048,0.0,0.0,422728002,448954170.0,-2.672811059907826,1.085
7,SH.515880,通信ETF,2019-09-18 00:00:00,1.059,1.056,1.064,1.051,0.0,0.0,206378291,218270659.0,0.0,1.056
8,SH.515880,通信ETF,2019-09-19 00:00:00,1.057,1.081,1.082,1.055,0.0,0.0,283289655,302721773.0,2.3674242424242338,1.056
9,SH.515880,通信ETF,2019-09-20 00:00:00,1.084,1.081,1.096,1.08,0.0,0.0,284140216,308832888.0,0.0,1.081
10,SH.515880,通信ETF,2019-09-23 00:00:00,1.076,1.082,1.082,1.065,0.0,0.0,171509789,183862888.0,0.09250693802036189,1.081
11,SH.515880,通信ETF,2019-09-24 00:00:00,1.082,1.098,1.107,1.08,0.0,0.0,326865380,358410489.0,1.478743068391868,1.082
12,SH.515880,通信ETF,2019-09-25 00:00:00,1.09,1.066,1.09,1.063,0.0,0.0,270499280,290541295.0,-2.9143897996357038,1.098
13,SH.515880,通信ETF,2019-09-26 00:00:00,1.067,1.021,1.072,1.019,0.0,0.0,470137100,489070671.0,-4.221388367729846,1.066
14,SH.515880,通信ETF,2019-09-27 00:00:00,1.016,1.035,1.042,1.016,0.0,0.0,168927690,174446833.0,1.3712047012732629,1.021
15,SH.515880,通信ETF,2019-09-30 00:00:00,1.03,1.019,1.04,1.014,0.0,0.0,159463200,162997504.0,-1.5458937198067648,1.035
16,SH.515880,通信ETF,2019-10-08 00:00:00,1.02,1.0,1.024,0.999,0.0,0.0,179029900,180899638.0,-1.8645731108930232,1.019
17,SH.515880,通信ETF,2019-10-09 00:00:00,0.998,1.01,1.011,0.981,0.0,0.0,161889000,161721157.0,1.0000000000000009,1.0
18,SH.515880,通信ETF,2019-10-10 00:00:00,1.012,1.034,1.036,1.01,0.0,0.0,216781200,222600292.0,2.3762376237623783,1.01
19,SH.515880,通信ETF,2019-10-11 00:00:00,1.036,1.032,1.038,1.022,0.0,0.0,124447289,128180054.0,-0.193423597678917,1.034
20,SH.515880,通信ETF,2019-10-14 00:00:00,1.042,1.043,1.051,1.041,0.0,0.0,151508489,158405046.0,1.0658914728682072,1.032
