,code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,SH.516510,云计算ETF,2021-04-07 00:00:00,1.002,0.991,1.003,0.984,0.0,0.0,36657500,36287042.0,-1.0978043912175657,1.002
1,SH.516510,云计算ETF,2021-04-08 00:00:00,0.99,0.99,0.996,0.984,0.0,0.0,13255800,13148976.0,-0.10090817356205861,0.991
2,SH.516510,云计算ETF,2021-04-09 00:00:00,0.989,0.979,0.989,0.978,0.0,0.0,16264500,15952027.0,-1.1111111111111123,0.99
3,SH.516510,云计算ETF,2021-04-12 00:00:00,0.981,0.964,0.985,0.961,0.0,0.0,16253400,15806580.0,-1.5321756894790617,0.979
4,SH.516510,云计算ETF,2021-04-13 00:00:00,0.963,0.961,0.974,0.937,0.0,0.0,12871500,12481864.0,-0.31120331950207497,0.964
5,SH.516510,云计算ETF,2021-04-14 00:00:00,0.962,0.976,0.979,0.959,0.0,0.0,7119300,6917409.0,1.5608740894901159,0.961
6,SH.516510,云计算ETF,2021-04-15 00:00:00,0.97,0.977,0.98,0.97,0.0,0.0,5456500,5322473.0,0.10245901639344271,0.976
7,SH.516510,云计算ETF,2021-04-16 00:00:00,0.971,0.982,0.984,0.971,0.0,0.0,6773700,6634161.0,0.5117707267144324,0.977
8,SH.516510,云计算ETF,2021-04-19 00:00:00,0.981,1.004,1.005,0.979,0.0,0.0,21282000,21303178.0,2.24032586558045,0.982
9,SH.516510,云计算ETF,2021-04-20 00:00:00,1.003,1.002,1.008,0.999,0.0,0.0,9235800,9273628.0,-0.19920318725099617,1.004
10,SH.516510,云计算ETF,2021-04-21 00:00:00,1.001,0.996,1.001,0.992,0.0,0.0,2544700,2531709.0,-0.5988023952095813,1.002
11,SH.516510,云计算ETF,2021-04-22 00:00:00,0.996,1.0,1.001,0.993,0.0,0.0,4764700,4750440.0,0.40160642570281163,0.996
12,SH.516510,云计算ETF,2021-04-23 00:00:00,1.0,0.99,1.0,0.99,0.0,0.0,4485100,4452604.0,-1.0000000000000009,1.0
13,SH.516510,云计算ETF,2021-04-26 00:00:00,0.99,0.98,1.0,0.978,0.0,0.0,3917700,3875338.0,-1.010101010101011,0.99
14,SH.516510,云计算ETF,2021-04-27 00:00:00,0.98,0.977,0.982,0.971,0.0,0.0,3953700,3863812.0,-0.3061224489795921,0.98
15,SH.516510,云计算ETF,2021-04-28 00:00:00,0.975,0.975,0.976,0.967,0.0,0.0,3072600,2987478.0,-0.20470829068577295,0.977
16,SH.516510,云计算ETF,2021-04-29 00:00:00,0.975,0.975,0.98,0.971,0.0,0.0,2346900,2284430.0,0.0,0.975
17,SH.516510,云计算ETF,2021-04-30 00:00:00,0.975,0.961,0.975,0.954,0.0,0.0,5957100,5732994.0,-1.4358974358974372,0.975
18,SH.516510,云计算ETF,2021-05-06 00:00:00,0.961,0.947,0.961,0.942,0.0,0.0,4560500,4321929.0,-1.4568158168574414,0.961
19,SH.516510,云计算ETF,2021-05-07 00:00:00,0.947,0.931,0.947,0.928,0.0,0.0,8379400,7860305.0,-1.689545934530085,0.947
20,SH.516510,云计算ETF,2021-05-10 00:00:00,0.928,0.92,0.931,0.917,0.0,0.0,6061900,5578099.0,-1.1815252416756186,0.931
21,SH.516510,云计算ETF,2021-05-11 00:00:00,0.918,0.932,0.933,0.915,0.0,0.0,7111300,6574950.0,1.3043478260869577,0.92
22,SH.516510,云计算ETF,2021-05-12 00:00:00,0.932,0.936,0.939,0.926,0.0,0.0,6509900,6078058.0,0.4291845493562235,0.932
23,SH.516510,云计算ETF,2021-05-13 00:00:00,0.936,0.931,0.94,0.93,0.0,0.0,4016400,3755987.0,-0.5341880341880346,0.936
24,SH.516510,云计算ETF,2021-05-14 00:00:00,0.929,0.95,0.951,0.929,0.0,0.0,7899200,7474206.0,2.040816326530602,0.931
25,SH.516510,云计算ETF,2021-05-17 00:00:00,0.95,0.97,0.98,0.95,0.0,0.0,10884200,10566134.0,2.105263157894739,0.95
26,SH.516510,云计算ETF,2021-05-18 00:00:00,0.97,0.975,0.977,0.962,0.0,0.0,5752099,5574426.0,0.5154639175257737,0.97
27,SH.516510,云计算ETF,2021-05-19 00:00:00,0.975,0.969,0.975,0.966,0.0,0.0,931000,902367.0,-0.6153846153846159,0.975
28,SH.516510,云计算ETF,2021-05-20 00:00:00,0.968,0.976,0.979,0.968,0.0,0.0,4837900,4715608.0,0.722394220846234,0.969
29,SH.516510,云计算ETF,2021-05-21 00:00:00,0.975,0.964,0.98,0.963,0.0,0.0,1595400,1544653.0,-1.2295081967213126,0.976
30,SH.516510,云计算ETF,2021-05-24 00:00:00,0.96,0.99,0.994,0.96,0.0,0.0,5860400,5782116.0,2.6970954356846497,0.964
31,SH.516510,云计算ETF,2021-05-25 00:00:00,0.99,1.011,1.023,0.99,0.0,0.0,46588900,47241075.0,2.121212121212112,0.99
32,SH.516510,云计算ETF,2021-05-26 00:00:00,1.02,1.015,1.036,1.014,0.0,0.0,15897000,16307830.0,0.3956478733926809,1.011
33,SH.516510,云计算ETF,2021-05-27 00:00:00,1.004,1.02,1.029,1.004,0.0,0.0,10798400,11045167.0,0.4926108374384351,1.015
34,SH.516510,云计算ETF,2021-05-28 00:00:00,1.02,1.019,1.026,1.016,0.0,0.0,7056900,7204744.0,-0.09803921568628549,1.02
35,SH.516510,云计算ETF,2021-05-31 00:00:00,1.019,1.026,1.032,1.019,0.0,0.0,8137600,8365388.0,0.6869479882237604,1.019
36,SH.516510,云计算ETF,2021-06-01 00:00:00,1.024,1.027,1.035,1.024,0.0,0.0,6568600,6764158.0,0.09746588693956042,1.026
37,SH.516510,云计算ETF,2021-06-02 00:00:00,1.027,1.006,1.03,1.004,0.0,0.0,12335700,12459196.0,-2.0447906523855806,1.027
38,SH.516510,云计算ETF,2021-06-03 00:00:00,1.002,1.005,1.023,1.002,0.0,0.0,4016700,4072389.0,-0.09940357852883815,1.006
39,SH.516510,云计算ETF,2021-06-04 00:00:00,1.0,1.007,1.012,1.0,0.0,0.0,4912400,4954698.0,0.1990049751243783,1.005
40,SH.516510,云计算ETF,2021-06-07 00:00:00,1.003,1.028,1.03,1.003,0.0,0.0,4795400,4905998.0,2.0854021847070636,1.007
