,code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,SH.516950,基建ETF,2021-05-14 00:00:00,0.991,1.004,1.005,0.991,0.0,0.0,128754900,128535039.0,1.311806256306762,0.991
1,SH.516950,基建ETF,2021-05-17 00:00:00,1.004,1.006,1.014,1.003,0.0,0.0,72045300,72673576.0,0.19920318725099617,1.004
2,SH.516950,基建ETF,2021-05-18 00:00:00,1.001,1.005,1.007,1.0,0.0,0.0,18161000,18199839.0,-0.09940357852883815,1.006
3,SH.516950,基建ETF,2021-05-19 00:00:00,1.004,0.999,1.006,0.997,0.0,0.0,11069900,11076457.0,-0.5970149253731238,1.005
4,SH.516950,基建ETF,2021-05-20 00:00:00,0.999,0.997,1.003,0.992,0.0,0.0,7067000,7042870.0,-0.20020020020020038,0.999
5,SH.516950,基建ETF,2021-05-21 00:00:00,0.997,0.991,0.997,0.989,0.0,0.0,28445100,28207372.0,-0.6018054162487468,0.997
6,SH.516950,基建ETF,2021-05-24 00:00:00,0.991,0.995,0.995,0.987,0.0,0.0,10207500,10125916.0,0.40363269424823445,0.991
7,SH.516950,基建ETF,2021-05-25 00:00:00,0.994,1.003,1.004,0.986,0.0,0.0,11583300,11550456.0,0.804020100502502,0.995
8,SH.516950,基建ETF,2021-05-26 00:00:00,1.0,1.006,1.012,1.0,0.0,0.0,14886700,15000267.0,0.2991026919242387,1.003
9,SH.516950,基建ETF,2021-05-27 00:00:00,1.006,1.01,1.011,1.001,0.0,0.0,13073500,13175873.0,0.39761431411530856,1.006
10,SH.516950,基建ETF,2021-05-28 00:00:00,1.01,1.002,1.01,0.999,0.0,0.0,6092100,6124436.0,-0.7920792079207928,1.01
11,SH.516950,基建ETF,2021-05-31 00:00:00,1.002,0.999,1.002,0.995,0.0,0.0,5806400,5788687.0,-0.29940119760479067,1.002
12,SH.516950,基建ETF,2021-06-01 00:00:00,0.999,1.005,1.006,0.996,0.0,0.0,9980900,9998386.0,0.6006006006005901,0.999
13,SH.516950,基建ETF,2021-06-02 00:00:00,1.005,0.999,1.007,0.998,0.0,0.0,3433800,3437907.0,-0.5970149253731238,1.005
14,SH.516950,基建ETF,2021-06-03 00:00:00,0.994,0.996,1.003,0.994,0.0,0.0,5244100,5237544.0,-0.3003003003003006,0.999
15,SH.516950,基建ETF,2021-06-04 00:00:00,0.997,0.993,0.998,0.989,0.0,0.0,8811100,8746355.0,-0.30120481927710874,0.996
16,SH.516950,基建ETF,2021-06-07 00:00:00,0.993,0.994,0.996,0.991,0.0,0.0,3838200,3814135.0,0.10070493454179263,0.993
17,SH.516950,基建ETF,2021-06-08 00:00:00,0.994,0.992,0.995,0.99,0.0,0.0,5613100,5566812.0,-0.20120724346076477,0.994
18,SH.516950,基建ETF,2021-06-09 00:00:00,0.993,0.991,0.993,0.988,0.0,0.0,6031500,5971906.0,-0.1008064516129033,0.992
19,SH.516950,基建ETF,2021-06-10 00:00:00,0.99,0.991,0.996,0.99,0.0,0.0,7559300,7506690.0,0.0,0.991
