代码      名称               
588000    科创50ETF          
159915    创业板ETF          
513180    恒生科技指数ETF    
510300    沪深300ETF         
588200    科创芯片ETF        
159338    中证A500ETF        
512100    中证1000ETF        
513050    中概互联网ETF      
510050    XD上证50ETF        
512880    证券ETF            
518880    黄金ETF            
512480    半导体ETF          
159605    中概互联ETF        
159995    芯片ETF            
159941    纳指ETF            
512690    酒ETF              
562500    机器人ETF          
159869    游戏ETF            
512010    医药ETF            
159928    消费ETF            
563300    中证2000ETF        
159922    中证500ETF         
159819    人工智能ETF        
512200    房地产ETF          
510880    红利ETF            
588800    科创100ETF华夏     
588060    科创50ETF龙头      
512710    军工龙头ETF        
515880    通信ETF            
512980    传媒ETF            
510760    上证综指ETF        
515220    煤炭ETF            
512670    国防ETF            
159857    光伏ETF            
159611    电力ETF            
516510    云计算ETF          
159638    高端装备ETF        
561980    半导体设备ETF      
560080    中药ETF            
513910    港股央企红利ETF    
516950    基建ETF            
515290    银行ETF天弘        
516670    畜牧养殖ETF        
560980    光伏30ETF          
159637    新能源车龙头ETF    
159622    创新药ETF沪港深    
